layer,split_train,rank_abs_mean_difference_train,feature_id,mean_safe_train,mean_unsafe_train,unsafe_minus_safe_train,prevalence_safe_train,prevalence_unsafe_train,split_eval,rank_abs_mean_difference_eval,mean_safe_eval,mean_unsafe_eval,unsafe_minus_safe_eval,prevalence_safe_eval,prevalence_unsafe_eval,abs_train_difference,feature
18,train,7,11496,0.6711461544036865,0.7132745981216431,0.0421284437179565,1.0,1.0,eval,5,0.6764361262321472,0.7280132174491882,0.051577091217041,1.0,1.0,0.0421284437179565,L18·F11496
18,train,6,13010,0.689796507358551,0.7330375909805298,0.0432410836219787,1.0,1.0,eval,6,0.7020321488380432,0.7522241473197937,0.0501919984817504,1.0,1.0,0.0432410836219787,L18·F13010
18,train,5,17565,1.047406792640686,1.0004326105117798,-0.0469741821289062,1.0,1.0,eval,25,1.0421799421310425,0.9993093013763428,-0.0428706407546997,1.0,1.0,0.0469741821289062,L18·F17565
18,train,4,21730,0.6192240118980408,0.5714918375015259,-0.0477321743965148,1.0,1.0,eval,8,0.6031243801116943,0.5536603927612305,-0.0494639873504638,1.0,1.0,0.0477321743965148,L18·F21730
18,train,3,20838,1.4641810655593872,1.4161161184310913,-0.0480649471282959,1.0,1.0,eval,16,1.459755301475525,1.4134459495544434,-0.0463093519210815,1.0,1.0,0.0480649471282959,L18·F20838
18,train,2,13794,1.957158088684082,2.008240222930908,0.0510821342468261,1.0,1.0,eval,2,1.9714974164962769,2.0362651348114014,0.0647677183151245,1.0,1.0,0.0510821342468261,L18·F13794
18,train,1,26909,0.4875001013278961,0.5442960262298584,0.0567959249019622,1.0,1.0,eval,1,0.4904240667819977,0.5646589994430542,0.0742349326610565,1.0,1.0,0.0567959249019622,L18·F26909
12,train,10,3992,0.4175980389118194,0.4327651262283325,0.015167087316513,1.0,1.0,eval,4,0.4215878248214721,0.4385656118392944,0.0169777870178222,1.0,1.0,0.015167087316513,L12·F3992
12,train,8,15352,0.4580813646316528,0.4734508097171783,0.0153694450855255,1.0,1.0,eval,58,0.4621116816997528,0.4747051000595093,0.0125934183597564,1.0,1.0,0.0153694450855255,L12·F15352
12,train,7,6383,0.4605367183685303,0.4760318398475647,0.0154951214790344,1.0,1.0,eval,307,0.4600454568862915,0.4700108170509338,0.0099653601646423,1.0,1.0,0.0154951214790344,L12·F6383
12,train,6,4256,0.2270106077194214,0.2429598122835159,0.0159492045640945,1.0,1.0,eval,264,0.2319471836090088,0.2422378361225128,0.010290652513504,1.0,1.0,0.0159492045640945,L12·F4256
12,train,4,24625,0.5262715220451355,0.5425841808319092,0.0163126587867736,1.0,1.0,eval,39,0.5325875282287598,0.5458195209503174,0.0132319927215576,1.0,1.0,0.0163126587867736,L12·F24625
12,train,3,12315,0.5690455436706543,0.5853856205940247,0.0163400769233703,1.0,1.0,eval,21,0.5738039612770081,0.5878193974494934,0.0140154361724853,1.0,1.0,0.0163400769233703,L12·F12315
12,train,2,21075,0.4603881537914276,0.4771524667739868,0.0167643129825592,1.0,1.0,eval,276,0.4652035236358642,0.4753992855548858,0.0101957619190216,1.0,1.0,0.0167643129825592,L12·F21075
12,train,1,13206,1.8875538110733032,1.916659474372864,0.0291056632995605,1.0,1.0,eval,26,1.9049097299575808,1.9187761545181277,0.0138664245605468,1.0,1.0,0.0291056632995605,L12·F13206
4,train,10,4936,0.2299254536628723,0.2450742423534393,0.015148788690567,1.0,1.0,eval,41,0.2368428856134414,0.2456789314746856,0.0088360458612442,1.0,1.0,0.015148788690567,L4·F4936
4,train,8,28181,0.4178716838359833,0.433638721704483,0.0157670378684997,1.0,1.0,eval,44,0.4239290952682495,0.4326404631137848,0.0087113678455352,1.0,1.0,0.0157670378684997,L4·F28181
4,train,7,2388,0.5561476349830627,0.5720223188400269,0.0158746838569641,1.0,1.0,eval,147,0.5601604580879211,0.5676295757293701,0.0074691176414489,1.0,1.0,0.0158746838569641,L4·F2388
4,train,6,1717,0.321521908044815,0.3377211093902588,0.0161992013454437,1.0,1.0,eval,5,0.3261293768882751,0.3370664417743683,0.0109370648860931,1.0,1.0,0.0161992013454437,L4·F1717
4,train,5,14325,0.5883438587188721,0.6046373844146729,0.0162935256958007,1.0,1.0,eval,1,0.5930535197257996,0.6061952710151672,0.0131417512893676,1.0,1.0,0.0162935256958007,L4·F14325
4,train,3,12624,0.4137125015258789,0.4304965436458587,0.0167840421199798,1.0,1.0,eval,105,0.4195961654186249,0.4274605810642242,0.0078644156455993,1.0,1.0,0.0167840421199798,L4·F12624
4,train,2,77,0.7098540663719177,0.7270092368125916,0.0171551704406738,1.0,1.0,eval,123,0.7179505228996277,0.7256163358688354,0.0076658129692077,1.0,1.0,0.0171551704406738,L4·F77
4,train,1,21027,0.6628958582878113,0.6826290488243103,0.019733190536499,1.0,1.0,eval,3,0.6716768741607666,0.6835216283798218,0.0118447542190551,1.0,1.0,0.019733190536499,L4·F21027
