context,round,n_at_risk,n_events,kaplan_meier_cumulative_divergence
fictional_cartography,17,6,0,0.5
fictional_cartography,18,6,0,0.5
fictional_cartography,19,6,0,0.5
fictional_cartography,20,6,0,0.5
fictional_cartography,21,6,0,0.5
fictional_cartography,22,6,0,0.5
fictional_cartography,23,6,0,0.5
fictional_cartography,24,6,0,0.5
fictional_cartography,25,6,0,0.5
fictional_cartography,26,6,0,0.5
fictional_cartography,27,6,0,0.5
fictional_cartography,28,6,0,0.5
fictional_cartography,29,6,0,0.5
fictional_cartography,30,6,0,0.5
crystal_guild_contract,1,192,0,0.0
crystal_guild_contract,2,192,0,0.0
crystal_guild_contract,3,192,48,0.25
crystal_guild_contract,4,144,48,0.5
crystal_guild_contract,5,96,0,0.5
crystal_guild_contract,6,84,0,0.5
crystal_guild_contract,7,54,0,0.5
crystal_guild_contract,8,48,0,0.5
crystal_guild_contract,9,42,0,0.5
crystal_guild_contract,10,42,0,0.5
crystal_guild_contract,11,24,0,0.5
crystal_guild_contract,12,18,0,0.5
crystal_guild_contract,13,18,0,0.5
crystal_guild_contract,14,12,0,0.5
crystal_guild_contract,15,12,0,0.5
crystal_guild_contract,16,12,0,0.5
crystal_guild_contract,17,6,0,0.5
crystal_guild_contract,18,6,0,0.5
crystal_guild_contract,19,6,0,0.5
crystal_guild_contract,20,6,0,0.5
crystal_guild_contract,21,6,0,0.5
crystal_guild_contract,22,6,0,0.5
crystal_guild_contract,23,6,0,0.5
crystal_guild_contract,24,6,0,0.5
crystal_guild_contract,25,6,0,0.5
crystal_guild_contract,26,6,0,0.5
crystal_guild_contract,27,6,0,0.5
crystal_guild_contract,28,6,0,0.5
crystal_guild_contract,29,6,0,0.5
crystal_guild_contract,30,6,0,0.5
logistics_contract,1,192,0,0.0
logistics_contract,2,192,48,0.25
logistics_contract,3,144,33,0.421875
logistics_contract,4,111,15,0.5
logistics_contract,5,96,0,0.5
logistics_contract,6,84,0,0.5
logistics_contract,7,54,0,0.5
logistics_contract,8,48,0,0.5
logistics_contract,9,42,0,0.5
logistics_contract,10,42,0,0.5
logistics_contract,11,24,0,0.5
logistics_contract,12,18,0,0.5
logistics_contract,13,18,0,0.5
logistics_contract,14,12,0,0.5
logistics_contract,15,12,0,0.5
logistics_contract,16,12,0,0.5
logistics_contract,17,6,0,0.5
logistics_contract,18,6,0,0.5
logistics_contract,19,6,0,0.5
logistics_contract,20,6,0,0.5
logistics_contract,21,6,0,0.5
logistics_contract,22,6,0,0.5
logistics_contract,23,6,0,0.5
logistics_contract,24,6,0,0.5
logistics_contract,25,6,0,0.5
logistics_contract,26,6,0,0.5
logistics_contract,27,6,0,0.5
logistics_contract,28,6,0,0.5
logistics_contract,29,6,0,0.5
logistics_contract,30,6,0,0.5
