model,model_label,max_private_risk,phase,estimate,ci95_low,ci95_high,n_blocks,n_observations,section,round,n_players_at_risk
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,Rounds 2+,0.81765873015873,0.7592053571428571,0.8823809523809525,10,20,phase,,
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,Rounds 2+,0.6689880952380952,0.6137455357142857,0.7277395833333333,10,20,phase,,
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,Round 1,1.0,1.0,1.0,10,20,phase,,
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,Rounds 2+,0.5726388888888888,0.5330555555555556,0.6159756944444444,10,20,phase,,
gpt-5-nano,GPT-5 nano,0.1,Round 1,0.0,0.0,0.0,10,20,phase,,
gpt-5-nano,GPT-5 nano,0.1,Rounds 2+,0.14059523809523808,0.08166666666666668,0.1976190476190476,10,20,phase,,
gpt-5-nano,GPT-5 nano,0.6,Round 1,0.0,0.0,0.0,10,20,phase,,
gpt-5-nano,GPT-5 nano,0.6,Rounds 2+,0.1778769841269841,0.10077380952380953,0.2607142857142857,10,20,phase,,
gpt-5-nano,GPT-5 nano,0.9,Round 1,0.0,0.0,0.0,10,20,phase,,
gpt-5-nano,GPT-5 nano,0.9,Rounds 2+,0.16803571428571426,0.09511904761904762,0.23958333333333331,10,20,phase,,
gpt-5.4-nano,GPT-5.4 nano,0.1,Round 1,0.4,0.2,0.6,10,20,phase,,
gpt-5.4-nano,GPT-5.4 nano,0.1,Rounds 2+,0.6110912698412697,0.5626190476190477,0.6612306547619048,10,20,phase,,
gpt-5.4-nano,GPT-5.4 nano,0.6,Round 1,0.6,0.35,0.8,10,20,phase,,
gpt-5.4-nano,GPT-5.4 nano,0.6,Rounds 2+,0.47581349206349205,0.40625,0.5474211309523808,10,20,phase,,
gpt-5.4-nano,GPT-5.4 nano,0.9,Round 1,0.3,0.1,0.5,10,20,phase,,
gpt-5.4-nano,GPT-5.4 nano,0.9,Rounds 2+,0.6000396825396825,0.5393055555555555,0.6634563492063491,10,20,phase,,
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,10,10,round,2.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,10,10,round,3.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,10,10,round,4.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,10,10,round,5.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,8,8,round,6.0,16.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,8,8,round,7.0,16.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,7,7,round,8.0,14.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,6,6,round,9.0,12.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,,1.0,1.0,1.0,4,4,round,10.0,8.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.2,0.0,0.45,10,10,round,2.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.7,0.55,0.85,10,10,round,3.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.7,0.55,0.85,10,10,round,4.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.8,0.65,0.95,10,10,round,5.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.8125,0.625,0.9375,8,8,round,6.0,16.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.8125,0.625,0.9375,8,8,round,7.0,16.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.7857142857142857,0.5714285714285714,0.9285714285714286,7,7,round,8.0,14.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.75,0.5833333333333334,0.9166666666666666,6,6,round,9.0,12.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,,0.875,0.625,1.0,4,4,round,10.0,8.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.0,0.0,0.0,10,10,round,2.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.5,0.3,0.7,10,10,round,3.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.6,0.5,0.75,10,10,round,4.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.45,0.25,0.65,10,10,round,5.0,20.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.625,0.375,0.875,8,8,round,6.0,16.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.625,0.375,0.875,8,8,round,7.0,16.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.42857142857142855,0.21428571428571427,0.6428571428571429,7,7,round,8.0,14.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.5833333333333334,0.3333333333333333,0.8333333333333334,6,6,round,9.0,12.0
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,,0.75,0.5,1.0,4,4,round,10.0,8.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,2.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,3.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,4.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,5.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,8,8,round,6.0,16.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,8,8,round,7.0,16.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,7,7,round,8.0,14.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,6,6,round,9.0,12.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,,1.0,1.0,1.0,4,4,round,10.0,8.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.55,0.5,0.65,10,10,round,2.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.5,0.5,0.5,10,10,round,3.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.95,0.85,1.0,10,10,round,4.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,1.0,1.0,1.0,10,10,round,5.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,1.0,1.0,1.0,8,8,round,6.0,16.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.75,0.5625,0.9375,8,8,round,7.0,16.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.6428571428571429,0.5,0.7857142857142857,7,7,round,8.0,14.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.6666666666666666,0.3333333333333333,0.9166666666666666,6,6,round,9.0,12.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,,0.875,0.625,1.0,4,4,round,10.0,8.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,0.0,0.0,0.0,10,10,round,2.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,1.0,1.0,1.0,10,10,round,3.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,1.0,1.0,1.0,10,10,round,4.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,0.4,0.25,0.5,10,10,round,5.0,20.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,0.5625,0.5,0.6875,8,8,round,6.0,16.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,0.875,0.625,1.0,8,8,round,7.0,16.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,1.0,1.0,1.0,7,7,round,8.0,14.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,0.5833333333333334,0.25,0.9166666666666666,6,6,round,9.0,12.0
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,,0.625,0.25,1.0,4,4,round,10.0,8.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,1.0,1.0,1.0,10,10,round,2.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.75,0.6,0.9,10,10,round,3.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.8,0.65,0.95,10,10,round,4.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.95,0.85,1.0,10,10,round,5.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.625,0.5,0.8125,8,8,round,6.0,16.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.6875,0.5625,0.875,8,8,round,7.0,16.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.7857142857142857,0.6428571428571429,0.9285714285714286,7,7,round,8.0,14.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.75,0.5833333333333334,0.9166666666666666,6,6,round,9.0,12.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,,0.625,0.5,0.875,4,4,round,10.0,8.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.65,0.45,0.85,10,10,round,2.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.75,0.6,0.9,10,10,round,3.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.6,0.35,0.85,10,10,round,4.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.7,0.55,0.85,10,10,round,5.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.625,0.5,0.75,8,8,round,6.0,16.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.75,0.5625,0.9375,8,8,round,7.0,16.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.5714285714285714,0.35714285714285715,0.7857142857142857,7,7,round,8.0,14.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.75,0.5833333333333334,0.9166666666666666,6,6,round,9.0,12.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,,0.75,0.5,1.0,4,4,round,10.0,8.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,1.0,1.0,1.0,10,10,round,1.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.35,0.15,0.55,10,10,round,2.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.5,0.35,0.65,10,10,round,3.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.45,0.3,0.6,10,10,round,4.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.65,0.45,0.85,10,10,round,5.0,20.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.5625,0.3125,0.8125,8,8,round,6.0,16.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.8125,0.625,1.0,8,8,round,7.0,16.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.6428571428571429,0.5,0.7857142857142857,7,7,round,8.0,14.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.9166666666666666,0.75,1.0,6,6,round,9.0,12.0
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,,0.5,0.125,0.875,4,4,round,10.0,8.0
gpt-5-nano,GPT-5 nano,0.1,,0.0,0.0,0.0,10,10,round,1.0,20.0
gpt-5-nano,GPT-5 nano,0.1,,0.3,0.1,0.5,10,10,round,2.0,20.0
gpt-5-nano,GPT-5 nano,0.1,,0.15,0.0,0.4,10,10,round,3.0,20.0
gpt-5-nano,GPT-5 nano,0.1,,0.15,0.0,0.3,10,10,round,4.0,20.0
gpt-5-nano,GPT-5 nano,0.1,,0.25,0.05,0.45,10,10,round,5.0,20.0
gpt-5-nano,GPT-5 nano,0.1,,0.0,0.0,0.0,8,8,round,6.0,16.0
gpt-5-nano,GPT-5 nano,0.1,,0.125,0.0,0.3125,8,8,round,7.0,16.0
gpt-5-nano,GPT-5 nano,0.1,,0.0,0.0,0.0,7,7,round,8.0,14.0
gpt-5-nano,GPT-5 nano,0.1,,0.0,0.0,0.0,6,6,round,9.0,12.0
gpt-5-nano,GPT-5 nano,0.1,,0.25,0.0,0.5,4,4,round,10.0,8.0
gpt-5-nano,GPT-5 nano,0.6,,0.0,0.0,0.0,10,10,round,1.0,20.0
gpt-5-nano,GPT-5 nano,0.6,,0.4,0.2,0.6,10,10,round,2.0,20.0
gpt-5-nano,GPT-5 nano,0.6,,0.1,0.0,0.25,10,10,round,3.0,20.0
gpt-5-nano,GPT-5 nano,0.6,,0.1,0.0,0.25,10,10,round,4.0,20.0
gpt-5-nano,GPT-5 nano,0.6,,0.2,0.05,0.35,10,10,round,5.0,20.0
gpt-5-nano,GPT-5 nano,0.6,,0.125,0.0,0.3125,8,8,round,6.0,16.0
gpt-5-nano,GPT-5 nano,0.6,,0.0,0.0,0.0,8,8,round,7.0,16.0
gpt-5-nano,GPT-5 nano,0.6,,0.21428571428571427,0.07142857142857142,0.35714285714285715,7,7,round,8.0,14.0
gpt-5-nano,GPT-5 nano,0.6,,0.0,0.0,0.0,6,6,round,9.0,12.0
gpt-5-nano,GPT-5 nano,0.6,,0.125,0.0,0.375,4,4,round,10.0,8.0
gpt-5-nano,GPT-5 nano,0.9,,0.0,0.0,0.0,10,10,round,1.0,20.0
gpt-5-nano,GPT-5 nano,0.9,,0.55,0.3487500000000004,0.75,10,10,round,2.0,20.0
gpt-5-nano,GPT-5 nano,0.9,,0.15,0.0,0.35,10,10,round,3.0,20.0
gpt-5-nano,GPT-5 nano,0.9,,0.15,0.0,0.3,10,10,round,4.0,20.0
gpt-5-nano,GPT-5 nano,0.9,,0.05,0.0,0.15,10,10,round,5.0,20.0
gpt-5-nano,GPT-5 nano,0.9,,0.125,0.0,0.3125,8,8,round,6.0,16.0
gpt-5-nano,GPT-5 nano,0.9,,0.0625,0.0,0.1875,8,8,round,7.0,16.0
gpt-5-nano,GPT-5 nano,0.9,,0.14285714285714285,0.0,0.2857142857142857,7,7,round,8.0,14.0
gpt-5-nano,GPT-5 nano,0.9,,0.0,0.0,0.0,6,6,round,9.0,12.0
gpt-5-nano,GPT-5 nano,0.9,,0.125,0.0,0.375,4,4,round,10.0,8.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.4,0.2,0.6,10,10,round,1.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.7,0.45,0.95,10,10,round,2.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.7,0.5,0.9,10,10,round,3.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.45,0.3,0.6,10,10,round,4.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.65,0.5,0.8,10,10,round,5.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.5,0.25,0.75,8,8,round,6.0,16.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.5625,0.375,0.75,8,8,round,7.0,16.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.6428571428571429,0.35714285714285715,0.8571428571428571,7,7,round,8.0,14.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.6666666666666666,0.3333333333333333,0.9166666666666666,6,6,round,9.0,12.0
gpt-5.4-nano,GPT-5.4 nano,0.1,,0.375,0.125,0.5,4,4,round,10.0,8.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.6,0.35,0.8,10,10,round,1.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.35,0.15,0.55,10,10,round,2.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.6,0.35,0.8,10,10,round,3.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.55,0.35,0.75,10,10,round,4.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.45,0.3,0.6,10,10,round,5.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.5,0.25,0.75,8,8,round,6.0,16.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.375,0.125,0.625,8,8,round,7.0,16.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.42857142857142855,0.2857142857142857,0.5,7,7,round,8.0,14.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.5833333333333334,0.3333333333333333,0.8333333333333334,6,6,round,9.0,12.0
gpt-5.4-nano,GPT-5.4 nano,0.6,,0.5,0.125,0.875,4,4,round,10.0,8.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.3,0.1,0.5,10,10,round,1.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.55,0.35,0.75,10,10,round,2.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.45,0.25,0.65,10,10,round,3.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.7,0.55,0.85,10,10,round,4.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.6,0.4,0.8,10,10,round,5.0,20.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.375,0.1875,0.5,8,8,round,6.0,16.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.9375,0.8125,1.0,8,8,round,7.0,16.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.6428571428571429,0.5,0.7857142857142857,7,7,round,8.0,14.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.75,0.4166666666666667,1.0,6,6,round,9.0,12.0
gpt-5.4-nano,GPT-5.4 nano,0.9,,0.5,0.125,0.875,4,4,round,10.0,8.0
