bootstrap,root_feature,root_threshold
124,own_private_risk_before,0.024038461968302727
125,own_private_risk_before,0.024038461968302727
126,own_private_risk_before,0.024038461968302727
127,own_private_risk_before,0.024038461968302727
128,own_private_risk_before,0.024038461968302727
129,own_private_risk_before,0.024038461968302727
130,own_private_risk_before,0.024038461968302727
131,own_private_risk_before,0.032051282934844494
132,own_private_risk_before,0.024038461968302727
133,own_private_risk_before,0.019090908579528332
134,own_private_risk_before,0.022649573162198067
135,own_private_risk_before,0.024038461968302727
136,own_private_risk_before,0.022649573162198067
137,own_private_risk_before,0.024038461968302727
138,own_private_risk_before,0.024038461968302727
139,own_private_risk_before,0.024038461968302727
140,own_private_risk_before,0.019090908579528332
141,own_private_risk_before,0.024038461968302727
142,own_private_risk_before,0.024038461968302727
143,own_private_risk_before,0.024038461968302727
144,own_private_risk_before,0.022649573162198067
145,own_private_risk_before,0.029285714030265808
146,own_private_risk_before,0.024038461968302727
147,own_private_risk_before,0.024038461968302727
148,own_private_risk_before,0.032051282934844494
149,own_private_risk_before,0.022649573162198067
150,own_private_risk_before,0.022649573162198067
151,own_private_risk_before,0.024038461968302727
152,own_private_risk_before,0.024038461968302727
153,own_private_risk_before,0.024038461968302727
154,own_private_risk_before,0.024038461968302727
155,own_private_risk_before,0.024038461968302727
156,own_private_risk_before,0.032051282934844494
157,own_private_risk_before,0.024038461968302727
158,own_private_risk_before,0.024038461968302727
159,own_private_risk_before,0.022649573162198067
160,own_private_risk_before,0.022649573162198067
161,own_private_risk_before,0.024038461968302727
162,own_private_risk_before,0.024038461968302727
163,own_private_risk_before,0.022649573162198067
164,own_private_risk_before,0.024038461968302727
165,own_private_risk_before,0.019090908579528332
166,own_private_risk_before,0.024038461968302727
167,own_private_risk_before,0.019090908579528332
168,own_private_risk_before,0.024038461968302727
169,own_private_risk_before,0.024038461968302727
170,own_private_risk_before,0.02182539738714695
171,own_private_risk_before,0.032051282934844494
172,own_private_risk_before,0.024038461968302727
173,own_private_risk_before,0.022649573162198067
174,own_private_risk_before,0.024038461968302727
175,own_private_risk_before,0.024038461968302727
176,own_private_risk_before,0.032051282934844494
177,own_private_risk_before,0.022649573162198067
178,own_private_risk_before,0.022649573162198067
179,own_private_risk_before,0.022649573162198067
180,own_private_risk_before,0.024038461968302727
181,own_private_risk_before,0.029285714030265808
182,own_private_risk_before,0.019090908579528332
183,own_private_risk_before,0.024038461968302727
184,own_private_risk_before,0.024038461968302727
185,own_private_risk_before,0.019090908579528332
186,own_private_risk_before,0.022649573162198067
187,own_private_risk_before,0.024038461968302727
188,own_private_risk_before,0.022649573162198067
189,own_private_risk_before,0.022649573162198067
190,own_private_risk_before,0.024038461968302727
191,own_private_risk_before,0.019090908579528332
192,own_private_risk_before,0.024038461968302727
193,own_private_risk_before,0.022649573162198067
194,own_private_risk_before,0.022649573162198067
195,own_private_risk_before,0.024038461968302727
196,own_private_risk_before,0.024038461968302727
197,own_private_risk_before,0.024038461968302727
198,own_private_risk_before,0.019090908579528332
199,own_private_risk_before,0.024038461968302727
