grouping,analysis_scope,threshold_rule,threshold,n_low_or_equal,n_above,unsafe_low_or_equal,unsafe_above,diff_low_minus_above,diff_ci95_low,diff_ci95_high,provider,experiment_mode,model_slug
by_model,all_completed,progress_gap_before <= 1.5,1.5,3203,283,0.4255385576022479,0.7597173144876325,-0.33417875688538456,-0.386820828583869,-0.2815366851869001,provider_openai,mode_strategy_persona,gpt-5.4-nano
by_model,all_completed,progress_gap_before <= 2,2.0,3288,198,0.4333941605839416,0.7727272727272727,-0.3393331121433311,-0.40011377317184116,-0.2785524511148211,provider_openai,mode_strategy_persona,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= -0.5,-0.5,35,463,1.0,0.714902807775378,0.28509719222462204,0.24397412048989342,0.32622026395935066,provider_google,mode_baseline,google-gemini-3-flash-preview
by_model,baseline_completed,progress_gap_before <= -0.25,-0.25,35,463,1.0,0.714902807775378,0.28509719222462204,0.24397412048989342,0.32622026395935066,provider_google,mode_baseline,google-gemini-3-flash-preview
by_model,baseline_completed,progress_gap_before <= 0,0.0,463,35,0.7904967602591793,0.0,0.7904967602591793,0.7534277496485409,0.8275657708698176,provider_google,mode_baseline,google-gemini-3-flash-preview
by_model,baseline_completed,progress_gap_before <= 0.25,0.25,463,35,0.7904967602591793,0.0,0.7904967602591793,0.7534277496485409,0.8275657708698176,provider_google,mode_baseline,google-gemini-3-flash-preview
by_model,baseline_completed,progress_gap_before <= -0.5,-0.5,26,472,1.0,0.8050847457627118,0.19491525423728817,0.15917737430695653,0.23065313416761982,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview
by_model,baseline_completed,progress_gap_before <= -0.25,-0.25,26,472,1.0,0.8050847457627118,0.19491525423728817,0.15917737430695653,0.23065313416761982,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview
by_model,baseline_completed,progress_gap_before <= 0,0.0,472,26,0.8601694915254238,0.0,0.8601694915254238,0.8288814731528827,0.8914575098979648,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview
by_model,baseline_completed,progress_gap_before <= 0.25,0.25,472,26,0.8601694915254238,0.0,0.8601694915254238,0.8288814731528827,0.8914575098979648,provider_google,mode_baseline,google-gemini-3.1-flash-lite-preview
by_model,baseline_completed,progress_gap_before <= -0.5,-0.5,64,434,1.0,0.6290322580645161,0.3709677419354839,0.3255196412269745,0.41641584264399323,provider_google,mode_baseline,google-gemini-3.5-flash-lite
by_model,baseline_completed,progress_gap_before <= -0.25,-0.25,64,434,1.0,0.6290322580645161,0.3709677419354839,0.3255196412269745,0.41641584264399323,provider_google,mode_baseline,google-gemini-3.5-flash-lite
by_model,baseline_completed,progress_gap_before <= 0,0.0,434,64,0.7649769585253456,0.078125,0.6868519585253456,0.6099461954102123,0.763757721640479,provider_google,mode_baseline,google-gemini-3.5-flash-lite
by_model,baseline_completed,progress_gap_before <= 0.25,0.25,434,64,0.7649769585253456,0.078125,0.6868519585253456,0.6099461954102123,0.763757721640479,provider_google,mode_baseline,google-gemini-3.5-flash-lite
by_model,baseline_completed,progress_gap_before <= -0.5,-0.5,67,431,0.3283582089552239,0.10904872389791183,0.21930948505731207,0.10307221761501945,0.3355467524996047,provider_openai,mode_baseline,gpt-5-nano
by_model,baseline_completed,progress_gap_before <= -0.25,-0.25,67,431,0.3283582089552239,0.10904872389791183,0.21930948505731207,0.10307221761501945,0.3355467524996047,provider_openai,mode_baseline,gpt-5-nano
by_model,baseline_completed,progress_gap_before <= 0,0.0,431,67,0.14385150812064965,0.1044776119402985,0.03937389618035114,-0.04101474269044671,0.11976253505114899,provider_openai,mode_baseline,gpt-5-nano
by_model,baseline_completed,progress_gap_before <= 0.25,0.25,431,67,0.14385150812064965,0.1044776119402985,0.03937389618035114,-0.04101474269044671,0.11976253505114899,provider_openai,mode_baseline,gpt-5-nano
by_model,baseline_completed,progress_gap_before <= -2,-2.0,20,478,0.7,0.5543933054393305,0.14560669456066944,-0.06011697211490208,0.35133036123624095,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= -1.5,-1.5,50,448,0.62,0.5535714285714286,0.06642857142857139,-0.07577114666186646,0.20862828951900925,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= -1,-1.0,99,399,0.5555555555555556,0.5614035087719298,-0.005847953216374213,-0.11517297551225199,0.10347706907950356,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= -0.5,-0.5,188,310,0.5531914893617021,0.5645161290322581,-0.01132463967055597,-0.10130897015814869,0.07865969081703675,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= -0.25,-0.25,188,310,0.5531914893617021,0.5645161290322581,-0.01132463967055597,-0.10130897015814869,0.07865969081703675,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= 0,0.0,310,188,0.5193548387096775,0.6276595744680851,-0.1083047357584076,-0.19701166884217602,-0.01959780267463916,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= 0.25,0.25,310,188,0.5193548387096775,0.6276595744680851,-0.1083047357584076,-0.19701166884217602,-0.01959780267463916,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= 0.5,0.5,399,99,0.5614035087719298,0.5555555555555556,0.005847953216374213,-0.10347706907950356,0.11517297551225199,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= 1,1.0,448,50,0.5647321428571429,0.52,0.04473214285714289,-0.10116194819357657,0.19062623390786235,provider_openai,mode_baseline,gpt-5.4-nano
by_model,baseline_completed,progress_gap_before <= 1.5,1.5,478,20,0.5606694560669456,0.55,0.010669456066945582,-0.21186014473032017,0.23319905686421133,provider_openai,mode_baseline,gpt-5.4-nano
