bootstrap,root_feature,root_threshold
81,model_slug_gpt-5-nano,0.5
82,model_slug_gpt-5-nano,0.5
83,model_slug_gpt-5-nano,0.5
84,model_slug_gpt-5-nano,0.5
85,model_slug_gpt-5-nano,0.5
86,model_slug_gpt-5-nano,0.5
87,model_slug_gpt-5-nano,0.5
88,model_slug_gpt-5-nano,0.5
89,model_slug_gpt-5-nano,0.5
90,model_slug_gpt-5-nano,0.5
91,model_slug_gpt-5-nano,0.5
92,model_slug_gpt-5-nano,0.5
93,model_slug_gpt-5-nano,0.5
94,opponent_prev_unsafe,0.5
95,model_slug_gpt-5-nano,0.5
96,opponent_prev_unsafe,0.5
97,model_slug_gpt-5-nano,0.5
98,model_slug_gpt-5-nano,0.5
99,model_slug_gpt-5-nano,0.5
100,model_slug_gpt-5-nano,0.5
101,model_slug_gpt-5-nano,0.5
102,model_slug_gpt-5-nano,0.5
103,model_slug_gpt-5-nano,0.5
104,model_slug_gpt-5-nano,0.5
105,model_slug_gpt-5-nano,0.5
106,model_slug_gpt-5-nano,0.5
107,model_slug_gpt-5-nano,0.5
108,model_slug_gpt-5-nano,0.5
109,model_slug_gpt-5-nano,0.5
110,model_slug_gpt-5-nano,0.5
111,model_slug_gpt-5-nano,0.5
112,model_slug_gpt-5-nano,0.5
113,model_slug_gpt-5-nano,0.5
114,opponent_prev_unsafe,0.5
115,model_slug_gpt-5-nano,0.5
116,model_slug_gpt-5-nano,0.5
117,model_slug_gpt-5-nano,0.5
118,model_slug_gpt-5-nano,0.5
119,model_slug_gpt-5-nano,0.5
120,model_slug_gpt-5-nano,0.5
121,model_slug_gpt-5-nano,0.5
122,model_slug_gpt-5-nano,0.5
123,model_slug_gpt-5-nano,0.5
124,model_slug_gpt-5-nano,0.5
125,model_slug_gpt-5-nano,0.5
126,model_slug_gpt-5-nano,0.5
127,model_slug_gpt-5-nano,0.5
128,model_slug_gpt-5-nano,0.5
129,model_slug_gpt-5-nano,0.5
130,model_slug_gpt-5-nano,0.5
131,model_slug_gpt-5-nano,0.5
132,model_slug_gpt-5-nano,0.5
133,model_slug_gpt-5-nano,0.5
134,model_slug_gpt-5-nano,0.5
135,model_slug_gpt-5-nano,0.5
136,model_slug_gpt-5-nano,0.5
137,model_slug_gpt-5-nano,0.5
138,model_slug_gpt-5-nano,0.5
139,model_slug_gpt-5-nano,0.5
140,model_slug_gpt-5-nano,0.5
141,model_slug_gpt-5-nano,0.5
142,model_slug_gpt-5-nano,0.5
143,model_slug_gpt-5-nano,0.5
144,model_slug_gpt-5-nano,0.5
145,opponent_prev_unsafe,0.5
146,model_slug_gpt-5-nano,0.5
147,model_slug_gpt-5-nano,0.5
148,model_slug_gpt-5-nano,0.5
149,model_slug_gpt-5-nano,0.5
150,model_slug_gpt-5-nano,0.5
151,model_slug_gpt-5-nano,0.5
152,model_slug_gpt-5-nano,0.5
153,model_slug_gpt-5-nano,0.5
154,model_slug_gpt-5-nano,0.5
155,model_slug_gpt-5-nano,0.5
156,model_slug_gpt-5-nano,0.5
157,model_slug_gpt-5-nano,0.5
158,model_slug_gpt-5-nano,0.5
159,model_slug_gpt-5-nano,0.5
160,model_slug_gpt-5-nano,0.5
161,model_slug_gpt-5-nano,0.5
162,model_slug_gpt-5-nano,0.5
163,model_slug_gpt-5-nano,0.5
164,opponent_prev_unsafe,0.5
165,model_slug_gpt-5-nano,0.5
166,model_slug_gpt-5-nano,0.5
167,provider_provider_google,0.5
168,model_slug_gpt-5-nano,0.5
169,model_slug_gpt-5-nano,0.5
170,model_slug_gpt-5-nano,0.5
171,model_slug_gpt-5-nano,0.5
172,model_slug_gpt-5-nano,0.5
173,model_slug_gpt-5-nano,0.5
174,model_slug_gpt-5-nano,0.5
175,model_slug_gpt-5-nano,0.5
176,model_slug_gpt-5-nano,0.5
177,model_slug_gpt-5-nano,0.5
178,model_slug_gpt-5-nano,0.5
179,model_slug_gpt-5-nano,0.5
180,model_slug_gpt-5-nano,0.5
181,model_slug_gpt-5-nano,0.5
182,model_slug_gpt-5-nano,0.5
183,model_slug_gpt-5-nano,0.5
184,model_slug_gpt-5-nano,0.5
185,model_slug_gpt-5-nano,0.5
186,model_slug_gpt-5-nano,0.5
187,opponent_prev_unsafe,0.5
188,model_slug_gpt-5-nano,0.5
189,model_slug_gpt-5-nano,0.5
190,model_slug_gpt-5-nano,0.5
191,model_slug_gpt-5-nano,0.5
192,model_slug_gpt-5-nano,0.5
193,model_slug_gpt-5-nano,0.5
194,model_slug_gpt-5-nano,0.5
195,model_slug_gpt-5-nano,0.5
196,model_slug_gpt-5-nano,0.5
197,model_slug_gpt-5-nano,0.5
198,model_slug_gpt-5-nano,0.5
199,model_slug_gpt-5-nano,0.5
