residual_signature,model_slug,gap_bucket,n,unsafe_rate
ambiguous_AS|AU|CS,gpt-5-nano,-1..-0.5,11,0.7272727272727273
ambiguous_AS|AU|CS,gpt-5-nano,-0.5..0.5,133,0.6616541353383458
ambiguous_AS|AU|CS,gpt-5-nano,0.5..1,54,0.7037037037037037
ambiguous_AS|AU|CS,gpt-5-nano,1..2,106,0.5094339622641509
ambiguous_AS|AU|CS,gpt-5-nano,>=2,71,0.2535211267605634
ambiguous_AS|AU|CS,gpt-5.4-nano,-2..-1,12,0.5833333333333334
ambiguous_AS|AU|CS,gpt-5.4-nano,-1..-0.5,7,0.5714285714285714
ambiguous_AS|AU|CS,gpt-5.4-nano,-0.5..0.5,18,0.6111111111111112
ambiguous_AS|AU|CS,gpt-5.4-nano,0.5..1,6,0.8333333333333334
ambiguous_AS|AU|CS,gpt-5.4-nano,1..2,14,0.42857142857142855
ambiguous_AS|AU|CS,gpt-5.4-nano,>=2,2,0.0
ambiguous_AS|CAS,google-gemini-3-flash-preview,-1..-0.5,1,1.0
ambiguous_AS|CAS,google-gemini-3-flash-preview,-0.5..0.5,103,0.22330097087378642
ambiguous_AS|CAS,google-gemini-3-flash-preview,0.5..1,10,0.1
ambiguous_AS|CAS,gpt-5-nano,-1..-0.5,3,0.6666666666666666
ambiguous_AS|CAS,gpt-5-nano,-0.5..0.5,7,0.2857142857142857
ambiguous_AS|CAS,gpt-5-nano,0.5..1,4,0.25
ambiguous_AS|CAS,gpt-5.4-nano,-2..-1,39,0.48717948717948717
ambiguous_AS|CAS,gpt-5.4-nano,-1..-0.5,72,0.4305555555555556
ambiguous_AS|CAS,gpt-5.4-nano,-0.5..0.5,229,0.12663755458515283
ambiguous_AS|CAS,gpt-5.4-nano,0.5..1,9,0.2222222222222222
ambiguous_AS|CAS,gpt-5.4-nano,1..2,10,0.4
ambiguous_AS|CAS,gpt-5.4-nano,>=2,2,0.0
ambiguous_AS|CS,google-gemini-3-flash-preview,-2..-1,7,1.0
ambiguous_AS|CS,google-gemini-3-flash-preview,-1..-0.5,103,0.44660194174757284
ambiguous_AS|CS,google-gemini-3-flash-preview,-0.5..0.5,2872,0.001392757660167131
ambiguous_AS|CS,gpt-5-nano,-2..-1,59,0.5932203389830508
ambiguous_AS|CS,gpt-5-nano,-1..-0.5,132,0.5757575757575758
ambiguous_AS|CS,gpt-5-nano,-0.5..0.5,5421,0.06733075078398819
ambiguous_AS|CS,gpt-5-nano,0.5..1,211,0.4075829383886256
ambiguous_AS|CS,gpt-5-nano,1..2,282,0.2907801418439716
ambiguous_AS|CS,gpt-5-nano,>=2,103,0.1553398058252427
ambiguous_AS|CS,gpt-5.4-nano,<=-2,10,0.7
ambiguous_AS|CS,gpt-5.4-nano,-2..-1,49,0.42857142857142855
ambiguous_AS|CS,gpt-5.4-nano,-1..-0.5,39,0.5384615384615384
ambiguous_AS|CS,gpt-5.4-nano,-0.5..0.5,2797,0.04683589560243118
ambiguous_AS|CS,gpt-5.4-nano,0.5..1,86,0.37209302325581395
ambiguous_AS|CS,gpt-5.4-nano,1..2,101,0.2871287128712871
ambiguous_AS|CS,gpt-5.4-nano,>=2,28,0.21428571428571427
ambiguous_AU|CAS,google-gemini-3-flash-preview,-1..-0.5,20,1.0
ambiguous_AU|CAS,google-gemini-3-flash-preview,-0.5..0.5,1564,0.9232736572890026
ambiguous_AU|CAS,google-gemini-3-flash-preview,0.5..1,46,0.45652173913043476
ambiguous_AU|CAS,google-gemini-3-flash-preview,1..2,4,0.0
ambiguous_AU|CAS,google-gemini-3.1-flash-lite-preview,-1..-0.5,12,1.0
ambiguous_AU|CAS,google-gemini-3.1-flash-lite-preview,-0.5..0.5,262,0.8969465648854962
ambiguous_AU|CAS,google-gemini-3.5-flash-lite,-1..-0.5,12,1.0
ambiguous_AU|CAS,google-gemini-3.5-flash-lite,-0.5..0.5,86,0.7441860465116279
ambiguous_AU|CAS,gpt-5-nano,-1..-0.5,1,1.0
ambiguous_AU|CAS,gpt-5-nano,-0.5..0.5,30,0.6666666666666666
ambiguous_AU|CAS,gpt-5-nano,0.5..1,10,0.5
ambiguous_AU|CAS,gpt-5-nano,1..2,16,0.375
ambiguous_AU|CAS,gpt-5-nano,>=2,1,0.0
ambiguous_AU|CAS,gpt-5.4-nano,<=-2,49,0.7551020408163265
ambiguous_AU|CAS,gpt-5.4-nano,-2..-1,207,0.6618357487922706
ambiguous_AU|CAS,gpt-5.4-nano,-1..-0.5,270,0.7296296296296296
ambiguous_AU|CAS,gpt-5.4-nano,-0.5..0.5,1119,0.838248436103664
ambiguous_AU|CAS,gpt-5.4-nano,0.5..1,110,0.5363636363636364
ambiguous_AU|CAS,gpt-5.4-nano,1..2,130,0.46923076923076923
ambiguous_AU|CAS,gpt-5.4-nano,>=2,31,0.2903225806451613
ambiguous_AU|CS,google-gemini-3-flash-preview,<=-2,1,1.0
ambiguous_AU|CS,google-gemini-3-flash-preview,-2..-1,98,0.8775510204081632
ambiguous_AU|CS,google-gemini-3-flash-preview,-1..-0.5,151,0.7417218543046358
ambiguous_AU|CS,google-gemini-3-flash-preview,-0.5..0.5,10,0.4
ambiguous_AU|CS,gpt-5-nano,-2..-1,1,1.0
ambiguous_AU|CS,gpt-5-nano,-1..-0.5,21,0.8571428571428571
ambiguous_AU|CS,gpt-5-nano,-0.5..0.5,102,0.7254901960784313
ambiguous_AU|CS,gpt-5-nano,0.5..1,42,0.5714285714285714
ambiguous_AU|CS,gpt-5-nano,1..2,44,0.5227272727272727
ambiguous_AU|CS,gpt-5-nano,>=2,9,0.1111111111111111
ambiguous_AU|CS,gpt-5.4-nano,<=-2,1,1.0
ambiguous_AU|CS,gpt-5.4-nano,-2..-1,18,0.8333333333333334
ambiguous_AU|CS,gpt-5.4-nano,-1..-0.5,16,0.625
ambiguous_AU|CS,gpt-5.4-nano,-0.5..0.5,23,0.6521739130434783
ambiguous_AU|CS,gpt-5.4-nano,0.5..1,7,1.0
ambiguous_AU|CS,gpt-5.4-nano,1..2,9,0.5555555555555556
near_AS,google-gemini-3-flash-preview,<=-2,4,1.0
near_AS,google-gemini-3-flash-preview,-2..-1,52,0.4230769230769231
near_AS,google-gemini-3-flash-preview,-1..-0.5,187,0.3048128342245989
near_AS,google-gemini-3-flash-preview,-0.5..0.5,89,0.10112359550561797
near_AS,gpt-5-nano,<=-2,612,0.184640522875817
near_AS,gpt-5-nano,-2..-1,1292,0.26702786377708976
near_AS,gpt-5-nano,-1..-0.5,1293,0.2954369682907966
near_AS,gpt-5-nano,-0.5..0.5,3317,0.3111245100994875
near_AS,gpt-5-nano,0.5..1,224,0.32589285714285715
near_AS,gpt-5-nano,1..2,121,0.2231404958677686
near_AS,gpt-5-nano,>=2,29,0.13793103448275862
near_AS,gpt-5.4-nano,<=-2,995,0.20603015075376885
near_AS,gpt-5.4-nano,-2..-1,866,0.1951501154734411
near_AS,gpt-5.4-nano,-1..-0.5,637,0.2653061224489796
near_AS,gpt-5.4-nano,-0.5..0.5,709,0.21297602256699577
near_AS,gpt-5.4-nano,0.5..1,21,0.19047619047619047
near_AS,gpt-5.4-nano,1..2,6,0.16666666666666666
near_AU,google-gemini-3-flash-preview,<=-2,3,1.0
near_AU,google-gemini-3-flash-preview,-2..-1,23,0.6521739130434783
near_AU,google-gemini-3-flash-preview,-1..-0.5,69,0.8405797101449275
near_AU,google-gemini-3-flash-preview,-0.5..0.5,487,0.7371663244353183
near_AU,google-gemini-3-flash-preview,0.5..1,146,0.8424657534246576
near_AU,google-gemini-3-flash-preview,1..2,48,0.6458333333333334
near_AU,google-gemini-3.1-flash-lite-preview,-1..-0.5,12,1.0
near_AU,google-gemini-3.1-flash-lite-preview,-0.5..0.5,138,0.6739130434782609
near_AU,google-gemini-3.5-flash-lite,-1..-0.5,14,1.0
near_AU,google-gemini-3.5-flash-lite,-0.5..0.5,85,0.6823529411764706
near_AU,gpt-5-nano,-2..-1,8,0.875
near_AU,gpt-5-nano,-1..-0.5,49,0.6938775510204082
near_AU,gpt-5-nano,-0.5..0.5,1659,0.7751657625075347
near_AU,gpt-5-nano,0.5..1,723,0.7344398340248963
near_AU,gpt-5-nano,1..2,993,0.6364551863041289
near_AU,gpt-5-nano,>=2,632,0.504746835443038
near_AU,gpt-5.4-nano,<=-2,1,1.0
near_AU,gpt-5.4-nano,-2..-1,66,0.7575757575757576
near_AU,gpt-5.4-nano,-1..-0.5,161,0.7453416149068323
near_AU,gpt-5.4-nano,-0.5..0.5,1452,0.7506887052341598
near_AU,gpt-5.4-nano,0.5..1,643,0.80248833592535
near_AU,gpt-5.4-nano,1..2,959,0.7497393117831074
near_AU,gpt-5.4-nano,>=2,1091,0.694775435380385
near_CAS,google-gemini-3-flash-preview,-1..-0.5,42,1.0
near_CAS,google-gemini-3-flash-preview,-0.5..0.5,1156,0.5224913494809689
near_CAS,google-gemini-3-flash-preview,0.5..1,73,0.2465753424657534
near_CAS,google-gemini-3-flash-preview,1..2,20,0.0
near_CAS,google-gemini-3.1-flash-lite-preview,-1..-0.5,2,1.0
near_CAS,google-gemini-3.1-flash-lite-preview,-0.5..0.5,58,0.7068965517241379
near_CAS,google-gemini-3.5-flash-lite,-1..-0.5,38,1.0
near_CAS,google-gemini-3.5-flash-lite,-0.5..0.5,220,0.5363636363636364
near_CAS,gpt-5-nano,-1..-0.5,7,0.8571428571428571
near_CAS,gpt-5-nano,-0.5..0.5,29,0.41379310344827586
near_CAS,gpt-5-nano,0.5..1,8,0.375
near_CAS,gpt-5-nano,1..2,7,0.5714285714285714
near_CAS,gpt-5-nano,>=2,3,0.3333333333333333
near_CAS,gpt-5.4-nano,<=-2,2,1.0
near_CAS,gpt-5.4-nano,-2..-1,35,0.7428571428571429
near_CAS,gpt-5.4-nano,-1..-0.5,56,0.6071428571428571
near_CAS,gpt-5.4-nano,-0.5..0.5,346,0.43352601156069365
near_CAS,gpt-5.4-nano,0.5..1,185,0.35135135135135137
near_CAS,gpt-5.4-nano,1..2,238,0.3403361344537815
near_CAS,gpt-5.4-nano,>=2,120,0.20833333333333334
near_CS,google-gemini-3-flash-preview,<=-2,5,1.0
near_CS,google-gemini-3-flash-preview,-2..-1,183,0.912568306010929
near_CS,google-gemini-3-flash-preview,-1..-0.5,638,0.7021943573667712
near_CS,google-gemini-3-flash-preview,-0.5..0.5,336,0.15476190476190477
near_CS,gpt-5-nano,-2..-1,42,0.7857142857142857
near_CS,gpt-5-nano,-1..-0.5,109,0.6880733944954128
near_CS,gpt-5-nano,-0.5..0.5,267,0.40074906367041196
near_CS,gpt-5-nano,0.5..1,46,0.5652173913043478
near_CS,gpt-5-nano,1..2,69,0.30434782608695654
near_CS,gpt-5-nano,>=2,22,0.18181818181818182
near_CS,gpt-5.4-nano,<=-2,13,0.6923076923076923
near_CS,gpt-5.4-nano,-2..-1,68,0.6323529411764706
near_CS,gpt-5.4-nano,-1..-0.5,131,0.6946564885496184
near_CS,gpt-5.4-nano,-0.5..0.5,143,0.4755244755244755
near_CS,gpt-5.4-nano,0.5..1,14,0.35714285714285715
near_CS,gpt-5.4-nano,1..2,6,0.16666666666666666
