model_slug,seat_persona_role,round_phase,n,unsafe_rate,ci95_low,ci95_high
gpt-5.4-nano,adversarial,mid_r5_8,396,0.7853535353535354,0.7449142986300871,0.8257927720769836
gpt-5.4-nano,adversarial,late_r9plus,240,0.7333333333333333,0.6773852092129251,0.7892814574537415
gpt-5.4-nano,cooperative,round_1,120,0.0,0.0,0.0
gpt-5.4-nano,cooperative,early_r2_4,360,0.027777777777777776,0.010801739634081192,0.04475381592147436
gpt-5.4-nano,cooperative,mid_r5_8,396,0.05555555555555555,0.03299444706304075,0.07811666404807036
gpt-5.4-nano,cooperative,late_r9plus,240,0.0625,0.031875,0.093125
gpt-5.4-nano,neutral,round_1,60,0.3333333333333333,0.21405153192109716,0.45261513474556947
gpt-5.4-nano,neutral,early_r2_4,180,0.55,0.47732125482646254,0.6226787451735375
gpt-5.4-nano,neutral,mid_r5_8,198,0.5151515151515151,0.4455379319974382,0.5847650983055921
gpt-5.4-nano,neutral,late_r9plus,120,0.5166666666666667,0.4272550301715173,0.6060783031618162
gpt-5.4-nano,risk-averse,round_1,60,0.2833333333333333,0.16931153554725048,0.39735513111941617
gpt-5.4-nano,risk-averse,early_r2_4,180,0.10555555555555556,0.06066685307458335,0.15044425803652775
gpt-5.4-nano,risk-averse,mid_r5_8,198,0.11616161616161616,0.07153014234453878,0.16079308997869354
gpt-5.4-nano,risk-averse,late_r9plus,120,0.1,0.04632318936449373,0.15367681063550628
gpt-5.4-nano,risk-seeking,round_1,60,1.0,1.0,1.0
gpt-5.4-nano,risk-seeking,early_r2_4,180,0.8722222222222222,0.8234512898866813,0.9209931545577632
gpt-5.4-nano,risk-seeking,mid_r5_8,198,0.9595959595959596,0.9321688475992672,0.9870230715926519
gpt-5.4-nano,risk-seeking,late_r9plus,120,0.9416666666666667,0.8997320725326443,0.983601260800689
