participant_id,group_id,round_number,max_private_risk,decision,decision_opponent,decision_lag,decision_opponent_lag,acc_steps,acc_steps_opponent,acc_steps_lag,acc_steps_opponent_lag,delta_steps_lag,won_race,num_rounds,sex,age,nationality_group,risk_gamble_choice
P0002,G0089,5,0.6,0.0,1.0,0,0,5.5,6.5,4.5,5.0,-0.5,0.0,5.0,Male,28-32,Poland,4.0
P0003,G0170,1,0.9,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,2,0.9,0.0,1.0,1,1,2.5,3.0,1.5,1.5,0.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,3,0.9,1.0,1.0,0,1,4.0,4.5,2.5,3.0,-0.5,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,4,0.9,0.0,1.0,1,1,5.0,6.0,4.0,4.5,-0.5,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,5,0.9,1.0,1.0,0,1,6.5,7.5,5.0,6.0,-1.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,6,0.9,0.0,1.0,1,1,7.5,9.0,6.5,7.5,-1.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,7,0.9,1.0,1.0,0,1,9.0,10.5,7.5,9.0,-1.5,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,8,0.9,0.0,1.0,1,1,10.0,12.0,9.0,10.5,-1.5,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,9,0.9,1.0,1.0,0,1,11.5,13.5,10.0,12.0,-2.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,10,0.9,1.0,1.0,1,1,13.0,15.0,11.5,13.5,-2.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,11,0.9,0.0,0.0,1,1,14.0,16.0,13.0,15.0,-2.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,12,0.9,0.0,1.0,0,0,15.0,17.5,14.0,16.0,-2.0,0.0,13.0,Male,23-27,South Africa,0.0
P0003,G0170,13,0.9,1.0,1.0,0,1,16.5,19.0,15.0,17.5,-2.5,0.0,13.0,Male,23-27,South Africa,0.0
P0004,G0044,1,0.9,0.0,0.0,-1,-1,1.0,1.0,0.0,0.0,0.0,0.0,5.0,Male,28-32,South Africa,2.0
P0004,G0044,2,0.9,1.0,0.0,0,0,2.5,2.0,1.0,1.0,0.0,0.0,5.0,Male,28-32,South Africa,2.0
P0004,G0044,3,0.9,1.0,1.0,1,0,4.0,3.5,2.5,2.0,0.5,0.0,5.0,Male,28-32,South Africa,2.0
P0004,G0044,4,0.9,0.0,0.0,1,1,5.0,4.5,4.0,3.5,0.5,0.0,5.0,Male,28-32,South Africa,2.0
P0004,G0044,5,0.9,1.0,0.0,0,0,6.5,5.5,5.0,4.5,0.5,1.0,5.0,Male,28-32,South Africa,2.0
P0005,G0073,1,0.6,0.0,1.0,-1,-1,1.0,1.5,0.0,0.0,0.0,0.0,7.0,Female,28-32,Other,2.0
P0005,G0073,2,0.6,0.0,1.0,0,1,2.0,3.0,1.0,1.5,-0.5,0.0,7.0,Female,28-32,Other,2.0
P0005,G0073,3,0.6,1.0,0.0,0,1,3.5,4.0,2.0,3.0,-1.0,0.0,7.0,Female,28-32,Other,2.0
P0005,G0073,4,0.6,0.0,1.0,1,0,4.5,5.5,3.5,4.0,-0.5,0.0,7.0,Female,28-32,Other,2.0
P0005,G0073,5,0.6,1.0,1.0,0,1,6.0,7.0,4.5,5.5,-1.0,0.0,7.0,Female,28-32,Other,2.0
P0005,G0073,6,0.6,1.0,1.0,1,1,7.5,8.5,6.0,7.0,-1.0,0.0,7.0,Female,28-32,Other,2.0
P0005,G0073,7,0.6,0.0,1.0,1,1,8.5,10.0,7.5,8.5,-1.0,0.0,7.0,Female,28-32,Other,2.0
P0006,G0160,1,0.1,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,2,0.1,1.0,0.0,1,1,3.0,2.5,1.5,1.5,0.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,3,0.1,0.0,1.0,1,0,4.0,4.0,3.0,2.5,0.5,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,4,0.1,1.0,0.0,0,1,5.5,5.0,4.0,4.0,0.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,5,0.1,1.0,0.0,1,0,7.0,6.0,5.5,5.0,0.5,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,6,0.1,1.0,1.0,1,0,8.5,7.5,7.0,6.0,1.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,7,0.1,0.0,0.0,1,1,9.5,8.5,8.5,7.5,1.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,8,0.1,1.0,1.0,0,0,11.0,10.0,9.5,8.5,1.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,9,0.1,1.0,0.0,1,1,12.5,11.0,11.0,10.0,1.0,0.0,10.0,Female,23-27,Other,3.0
P0006,G0160,10,0.1,0.0,1.0,1,0,13.5,12.5,12.5,11.0,1.5,1.0,10.0,Female,23-27,Other,3.0
P0007,G0100,1,0.9,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,5.0,Female,23-27,South Africa,2.0
P0007,G0100,2,0.9,1.0,1.0,1,1,3.0,3.0,1.5,1.5,0.0,0.0,5.0,Female,23-27,South Africa,2.0
P0007,G0100,3,0.9,1.0,0.0,1,1,4.5,4.0,3.0,3.0,0.0,0.0,5.0,Female,23-27,South Africa,2.0
P0007,G0100,4,0.9,0.0,1.0,1,0,5.5,5.5,4.5,4.0,0.5,0.0,5.0,Female,23-27,South Africa,2.0
P0007,G0100,5,0.9,1.0,1.0,0,1,7.0,7.0,5.5,5.5,0.0,1.0,5.0,Female,23-27,South Africa,2.0
P0008,G0065,1,0.1,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,2,0.1,0.0,1.0,1,1,2.5,3.0,1.5,1.5,0.0,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,3,0.1,1.0,1.0,0,1,4.0,4.5,2.5,3.0,-0.5,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,4,0.1,0.0,1.0,1,1,5.0,6.0,4.0,4.5,-0.5,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,5,0.1,0.0,1.0,0,1,6.0,7.5,5.0,6.0,-1.0,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,6,0.1,1.0,1.0,0,1,7.5,9.0,6.0,7.5,-1.5,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,7,0.1,1.0,1.0,1,1,9.0,10.5,7.5,9.0,-1.5,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,8,0.1,1.0,1.0,1,1,10.5,12.0,9.0,10.5,-1.5,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,9,0.1,0.0,1.0,1,1,11.5,13.5,10.5,12.0,-1.5,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,10,0.1,0.0,1.0,0,1,12.5,15.0,11.5,13.5,-2.0,0.0,11.0,Female,23-27,South Africa,4.0
P0008,G0065,11,0.1,0.0,1.0,0,1,13.5,16.5,12.5,15.0,-2.5,0.0,11.0,Female,23-27,South Africa,4.0
P0009,G0085,1,0.9,0.0,0.0,-1,-1,1.0,1.0,0.0,0.0,0.0,0.0,6.0,Female,18-22,South Africa,2.0
P0009,G0085,2,0.9,1.0,1.0,0,0,2.5,2.5,1.0,1.0,0.0,0.0,6.0,Female,18-22,South Africa,2.0
P0009,G0085,3,0.9,0.0,0.0,1,1,3.5,3.5,2.5,2.5,0.0,0.0,6.0,Female,18-22,South Africa,2.0
P0009,G0085,4,0.9,1.0,0.0,0,0,5.0,4.5,3.5,3.5,0.0,0.0,6.0,Female,18-22,South Africa,2.0
P0009,G0085,5,0.9,0.0,1.0,1,0,6.0,6.0,5.0,4.5,0.5,0.0,6.0,Female,18-22,South Africa,2.0
P0009,G0085,6,0.9,0.0,1.0,0,1,7.0,7.5,6.0,6.0,0.0,0.0,6.0,Female,18-22,South Africa,2.0
P0010,G0033,1,0.9,1.0,0.0,-1,-1,1.5,1.0,0.0,0.0,0.0,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,2,0.9,1.0,1.0,1,0,3.0,2.5,1.5,1.0,0.5,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,3,0.9,1.0,0.0,1,1,4.5,3.5,3.0,2.5,0.5,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,4,0.9,0.0,0.0,1,0,5.5,4.5,4.5,3.5,1.0,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,5,0.9,1.0,0.0,0,0,7.0,5.5,5.5,4.5,1.0,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,6,0.9,1.0,1.0,1,0,8.5,7.0,7.0,5.5,1.5,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,7,0.9,1.0,0.0,1,1,10.0,8.0,8.5,7.0,1.5,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,8,0.9,1.0,0.0,1,0,11.5,9.0,10.0,8.0,2.0,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,9,0.9,0.0,0.0,1,0,12.5,10.0,11.5,9.0,2.5,0.0,10.0,Female,33-37,South Africa,4.0
P0010,G0033,10,0.9,1.0,1.0,0,0,14.0,11.5,12.5,10.0,2.5,1.0,10.0,Female,33-37,South Africa,4.0
P0011,G0010,1,0.9,0.0,1.0,-1,-1,1.0,1.5,0.0,0.0,0.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,2,0.9,0.0,0.0,0,1,2.0,2.5,1.0,1.5,-0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,3,0.9,0.0,1.0,0,0,3.0,4.0,2.0,2.5,-0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,4,0.9,1.0,0.0,0,1,4.5,5.0,3.0,4.0,-1.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,5,0.9,1.0,0.0,1,0,6.0,6.0,4.5,5.0,-0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,6,0.9,1.0,0.0,1,0,7.5,7.0,6.0,6.0,0.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,7,0.9,0.0,0.0,1,0,8.5,8.0,7.5,7.0,0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,8,0.9,1.0,1.0,0,0,10.0,9.5,8.5,8.0,0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,9,0.9,0.0,1.0,1,1,11.0,11.0,10.0,9.5,0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,10,0.9,1.0,0.0,0,1,12.5,12.0,11.0,11.0,0.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,11,0.9,1.0,1.0,1,0,14.0,13.5,12.5,12.0,0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,12,0.9,1.0,0.0,1,1,15.5,14.5,14.0,13.5,0.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,13,0.9,1.0,0.0,1,0,17.0,15.5,15.5,14.5,1.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,14,0.9,1.0,0.0,1,0,18.5,16.5,17.0,15.5,1.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,15,0.9,1.0,0.0,1,0,20.0,17.5,18.5,16.5,2.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,16,0.9,1.0,1.0,1,0,21.5,19.0,20.0,17.5,2.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,17,0.9,1.0,0.0,1,1,23.0,20.0,21.5,19.0,2.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,18,0.9,1.0,0.0,1,0,24.5,21.0,23.0,20.0,3.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,19,0.9,0.0,1.0,1,0,25.5,22.5,24.5,21.0,3.5,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,20,0.9,1.0,1.0,0,1,27.0,24.0,25.5,22.5,3.0,0.0,21.0,Male,28-32,Other,3.0
P0011,G0010,21,0.9,1.0,1.0,1,1,28.5,25.5,27.0,24.0,3.0,1.0,21.0,Male,28-32,Other,3.0
P0012,G0087,1,0.6,0.0,0.0,-1,-1,1.0,1.0,0.0,0.0,0.0,0.0,5.0,Female,18-22,Other,1.0
P0012,G0087,2,0.6,0.0,0.0,0,0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,Female,18-22,Other,1.0
P0012,G0087,3,0.6,0.0,0.0,0,0,3.0,3.0,2.0,2.0,0.0,0.0,5.0,Female,18-22,Other,1.0
P0012,G0087,4,0.6,0.0,0.0,0,0,4.0,4.0,3.0,3.0,0.0,0.0,5.0,Female,18-22,Other,1.0
P0012,G0087,5,0.6,0.0,0.0,0,0,5.0,5.0,4.0,4.0,0.0,1.0,5.0,Female,18-22,Other,1.0
P0013,G0052,1,0.9,1.0,0.0,-1,-1,1.5,1.0,0.0,0.0,0.0,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,2,0.9,0.0,0.0,1,0,2.5,2.0,1.5,1.0,0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,3,0.9,0.0,1.0,0,0,3.5,3.5,2.5,2.0,0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,4,0.9,0.0,1.0,0,1,4.5,5.0,3.5,3.5,0.0,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,5,0.9,0.0,0.0,0,1,5.5,6.0,4.5,5.0,-0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,6,0.9,0.0,0.0,0,0,6.5,7.0,5.5,6.0,-0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,7,0.9,1.0,0.0,0,0,8.0,8.0,6.5,7.0,-0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,8,0.9,0.0,1.0,1,0,9.0,9.5,8.0,8.0,0.0,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,9,0.9,0.0,0.0,0,1,10.0,10.5,9.0,9.5,-0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,10,0.9,0.0,1.0,0,0,11.0,12.0,10.0,10.5,-0.5,0.0,11.0,Male,23-27,Poland,2.0
P0013,G0052,11,0.9,0.0,0.0,0,1,12.0,13.0,11.0,12.0,-1.0,0.0,11.0,Male,23-27,Poland,2.0
P0014,G0050,1,0.9,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,2,0.9,1.0,0.0,1,1,3.0,2.5,1.5,1.5,0.0,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,3,0.9,0.0,0.0,1,0,4.0,3.5,3.0,2.5,0.5,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,4,0.9,0.0,1.0,0,0,5.0,5.0,4.0,3.5,0.5,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,5,0.9,1.0,0.0,0,1,6.5,6.0,5.0,5.0,0.0,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,6,0.9,1.0,1.0,1,0,8.0,7.5,6.5,6.0,0.5,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,7,0.9,0.0,1.0,1,1,9.0,9.0,8.0,7.5,0.5,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,8,0.9,1.0,0.0,0,1,10.5,10.0,9.0,9.0,0.0,0.0,9.0,Male,18-22,Other,4.0
P0014,G0050,9,0.9,1.0,1.0,1,0,12.0,11.5,10.5,10.0,0.5,1.0,9.0,Male,18-22,Other,4.0
P0015,G0135,1,0.9,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,2,0.9,1.0,1.0,1,1,3.0,3.0,1.5,1.5,0.0,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,3,0.9,1.0,1.0,1,1,4.5,4.5,3.0,3.0,0.0,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,4,0.9,1.0,1.0,1,1,6.0,6.0,4.5,4.5,0.0,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,5,0.9,1.0,1.0,1,1,7.5,7.5,6.0,6.0,0.0,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,6,0.9,0.0,1.0,1,1,8.5,9.0,7.5,7.5,0.0,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,7,0.9,1.0,1.0,0,1,10.0,10.5,8.5,9.0,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,8,0.9,1.0,1.0,1,1,11.5,12.0,10.0,10.5,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,9,0.9,1.0,1.0,1,1,13.0,13.5,11.5,12.0,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,10,0.9,1.0,1.0,1,1,14.5,15.0,13.0,13.5,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,11,0.9,1.0,1.0,1,1,16.0,16.5,14.5,15.0,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,12,0.9,1.0,1.0,1,1,17.5,18.0,16.0,16.5,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,13,0.9,1.0,1.0,1,1,19.0,19.5,17.5,18.0,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0015,G0135,14,0.9,1.0,1.0,1,1,20.5,21.0,19.0,19.5,-0.5,0.0,14.0,Female,23-27,South Africa,0.0
P0016,G0020,1,0.9,0.0,1.0,-1,-1,1.0,1.5,0.0,0.0,0.0,0.0,5.0,Female,28-32,South Africa,1.0
P0016,G0020,2,0.9,0.0,0.0,0,1,2.0,2.5,1.0,1.5,-0.5,0.0,5.0,Female,28-32,South Africa,1.0
P0016,G0020,3,0.9,1.0,0.0,0,0,3.5,3.5,2.0,2.5,-0.5,0.0,5.0,Female,28-32,South Africa,1.0
P0016,G0020,4,0.9,1.0,1.0,1,0,5.0,5.0,3.5,3.5,0.0,0.0,5.0,Female,28-32,South Africa,1.0
P0016,G0020,5,0.9,0.0,1.0,1,1,6.0,6.5,5.0,5.0,0.0,0.0,5.0,Female,28-32,South Africa,1.0
P0017,G0160,1,0.1,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,2,0.1,0.0,1.0,1,1,2.5,3.0,1.5,1.5,0.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,3,0.1,1.0,0.0,0,1,4.0,4.0,2.5,3.0,-0.5,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,4,0.1,0.0,1.0,1,0,5.0,5.5,4.0,4.0,0.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,5,0.1,0.0,1.0,0,1,6.0,7.0,5.0,5.5,-0.5,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,6,0.1,1.0,1.0,0,1,7.5,8.5,6.0,7.0,-1.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,7,0.1,0.0,0.0,1,1,8.5,9.5,7.5,8.5,-1.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,8,0.1,1.0,1.0,0,0,10.0,11.0,8.5,9.5,-1.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,9,0.1,0.0,1.0,1,1,11.0,12.5,10.0,11.0,-1.0,0.0,10.0,Female,28-32,South Africa,2.0
P0017,G0160,10,0.1,1.0,0.0,0,1,12.5,13.5,11.0,12.5,-1.5,0.0,10.0,Female,28-32,South Africa,2.0
P0018,G0080,1,0.1,1.0,0.0,-1,-1,1.5,1.0,0.0,0.0,0.0,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,2,0.1,0.0,0.0,1,0,2.5,2.0,1.5,1.0,0.5,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,3,0.1,1.0,1.0,0,0,4.0,3.5,2.5,2.0,0.5,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,4,0.1,1.0,1.0,1,1,5.5,5.0,4.0,3.5,0.5,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,5,0.1,1.0,1.0,1,1,7.0,6.5,5.5,5.0,0.5,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,6,0.1,1.0,0.0,1,1,8.5,7.5,7.0,6.5,0.5,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,7,0.1,1.0,0.0,1,0,10.0,8.5,8.5,7.5,1.0,0.0,8.0,Male,18-22,Other,2.0
P0018,G0080,8,0.1,1.0,0.0,1,0,11.5,9.5,10.0,8.5,1.5,1.0,8.0,Male,18-22,Other,2.0
P0019,G0065,1,0.1,1.0,1.0,-1,-1,1.5,1.5,0.0,0.0,0.0,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,2,0.1,1.0,0.0,1,1,3.0,2.5,1.5,1.5,0.0,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,3,0.1,1.0,1.0,1,0,4.5,4.0,3.0,2.5,0.5,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,4,0.1,1.0,0.0,1,1,6.0,5.0,4.5,4.0,0.5,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,5,0.1,1.0,0.0,1,0,7.5,6.0,6.0,5.0,1.0,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,6,0.1,1.0,1.0,1,0,9.0,7.5,7.5,6.0,1.5,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,7,0.1,1.0,1.0,1,1,10.5,9.0,9.0,7.5,1.5,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,8,0.1,1.0,1.0,1,1,12.0,10.5,10.5,9.0,1.5,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,9,0.1,1.0,0.0,1,1,13.5,11.5,12.0,10.5,1.5,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,10,0.1,1.0,0.0,1,0,15.0,12.5,13.5,11.5,2.0,0.0,11.0,Female,48-52,South Africa,5.0
P0019,G0065,11,0.1,1.0,0.0,1,0,16.5,13.5,15.0,12.5,2.5,1.0,11.0,Female,48-52,South Africa,5.0
P0020,G0099,1,0.9,1.0,0.0,-1,-1,1.5,1.0,0.0,0.0,0.0,0.0,5.0,Female,28-32,South Africa,2.0
P0020,G0099,2,0.9,1.0,1.0,1,0,3.0,2.5,1.5,1.0,0.5,0.0,5.0,Female,28-32,South Africa,2.0
P0020,G0099,3,0.9,0.0,0.0,1,1,4.0,3.5,3.0,2.5,0.5,0.0,5.0,Female,28-32,South Africa,2.0
P0020,G0099,4,0.9,1.0,1.0,0,0,5.5,5.0,4.0,3.5,0.5,0.0,5.0,Female,28-32,South Africa,2.0
P0020,G0099,5,0.9,1.0,1.0,1,1,7.0,6.5,5.5,5.0,0.5,1.0,5.0,Female,28-32,South Africa,2.0
P0021,G0007,1,0.6,0.0,1.0,-1,-1,1.0,1.5,0.0,0.0,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,2,0.6,0.0,0.0,0,1,2.0,2.5,1.0,1.5,-0.5,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,3,0.6,1.0,0.0,0,0,3.5,3.5,2.0,2.5,-0.5,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,4,0.6,0.0,1.0,1,0,4.5,5.0,3.5,3.5,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,5,0.6,1.0,0.0,0,1,6.0,6.0,4.5,5.0,-0.5,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,6,0.6,1.0,1.0,1,0,7.5,7.5,6.0,6.0,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,7,0.6,0.0,0.0,1,1,8.5,8.5,7.5,7.5,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,8,0.6,1.0,0.0,0,0,10.0,9.5,8.5,8.5,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,9,0.6,1.0,1.0,1,0,11.5,11.0,10.0,9.5,0.5,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,10,0.6,0.0,1.0,1,1,12.5,12.5,11.5,11.0,0.5,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,11,0.6,0.0,0.0,0,1,13.5,13.5,12.5,12.5,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,12,0.6,1.0,1.0,0,0,15.0,15.0,13.5,13.5,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,13,0.6,1.0,1.0,1,1,16.5,16.5,15.0,15.0,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,14,0.6,0.0,1.0,1,1,17.5,18.0,16.5,16.5,0.0,0.0,15.0,Female,23-27,Other,0.0
P0021,G0007,15,0.6,0.0,1.0,0,1,18.5,19.5,17.5,18.0,-0.5,0.0,15.0,Female,23-27,Other,0.0
P0022,G0148,1,0.6,0.0,1.0,-1,-1,1.0,1.5,0.0,0.0,0.0,0.0,9.0,Male,18-22,Other,1.0
P0022,G0148,2,0.6,1.0,0.0,0,1,2.5,2.5,1.0,1.5,-0.5,0.0,9.0,Male,18-22,Other,1.0
