seat_model_key,dyad_type,persona_condition,self_identity_condition,max_private_risk,round_phase,accurate,not_disclosed,opponent_label_effect_pp
qwen25_7b,same_family,competitive,not_disclosed,0.9,round 2+,0.45454545454545453,0.45454545454545453,0.0
qwen25_7b,same_family,neutral,accurate,0.1,round 1,0.5,0.0,50.0
qwen25_7b,same_family,neutral,accurate,0.1,round 2+,1.0,0.9090909090909091,9.090909090909093
qwen25_7b,same_family,neutral,accurate,0.6,round 1,0.5,0.0,50.0
qwen25_7b,same_family,neutral,accurate,0.6,round 2+,1.0,0.9090909090909091,9.090909090909093
qwen25_7b,same_family,neutral,accurate,0.9,round 1,0.5,0.5,0.0
qwen25_7b,same_family,neutral,accurate,0.9,round 2+,1.0,0.9545454545454546,4.545454545454541
qwen25_7b,same_family,neutral,not_disclosed,0.1,round 1,0.0,0.0,0.0
qwen25_7b,same_family,neutral,not_disclosed,0.1,round 2+,0.9090909090909091,0.8636363636363636,4.545454545454541
qwen25_7b,same_family,neutral,not_disclosed,0.6,round 1,0.0,0.0,0.0
qwen25_7b,same_family,neutral,not_disclosed,0.6,round 2+,0.9090909090909091,0.9090909090909091,0.0
qwen25_7b,same_family,neutral,not_disclosed,0.9,round 1,0.0,0.0,0.0
qwen25_7b,same_family,neutral,not_disclosed,0.9,round 2+,0.9090909090909091,0.8636363636363636,4.545454545454541
