regime,regime_label,beta,mutation,max_private_risk,chain,seed,samples,unsafe_frequency,moves,frequency_AS,frequency_AU,frequency_CS,frequency_CAS
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,0,270726,4000,0.995849291819426,33734,0.0033274999999999447,0.9289624999999839,0.003432499999999943,0.06427750000000018
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,1,270727,4000,0.9959183535719274,33437,0.0033224999999999444,0.933862499999976,0.0032024999999999476,0.0596125000000002
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,2,270728,4000,0.9960750665758358,30919,0.0031874999999999486,0.9436824999999792,0.003412499999999943,0.049717500000000296
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.1,3,270729,4000,0.9957859022293776,30733,0.003449999999999942,0.9427774999999816,0.0034349999999999424,0.050337500000000326
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,0,271726,4000,0.9896961750881377,18556,0.0033024999999999452,0.02119500000000023,0.004262499999999958,0.9712399999999668
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,1,271727,4000,0.9893985738863088,17731,0.00349499999999994,0.019487500000000164,0.0041949999999999505,0.9728224999999698
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,2,271728,4000,0.9902267619745101,18416,0.0031874999999999478,0.020732500000000226,0.003934999999999935,0.9721449999999653
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.6,3,271729,4000,0.9901003787370459,19023,0.003257499999999947,0.023040000000000165,0.003954999999999934,0.9697474999999703
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,0,272726,4000,0.009372847005503481,27947,0.04551750000000023,0.003277499999999946,0.9476749999999768,0.0035299999999999416
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,1,272727,4000,0.009327189477115562,27652,0.044432500000000166,0.003262499999999946,0.9488049999999787,0.003499999999999944
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,2,272728,4000,0.00997393171566489,29655,0.04884000000000041,0.00354749999999994,0.9439299999999832,0.0036824999999999423
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,3,272729,4000,0.00890233908042948,25272,0.03834750000000021,0.0031774999999999464,0.9552824999999766,0.0031924999999999493
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,0,280726,4000,0.8726014675740589,158755,0.05746250000000074,0.4452174999999986,0.07911000000000015,0.41820999999999936
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,1,280727,4000,0.875068893511703,157731,0.058592500000000686,0.4845675000000029,0.07859750000000035,0.3782424999999997
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,2,280728,4000,0.8659265031904426,160389,0.05916250000000068,0.4349425000000007,0.08347000000000021,0.42242499999999966
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,3,280729,4000,0.8727773114366791,158006,0.05853750000000082,0.4418950000000026,0.07524250000000011,0.4243250000000009
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,0,281726,4000,0.6224624824659262,179619,0.13665749999999968,0.1941450000000003,0.22516750000000002,0.4440299999999986
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,1,281727,4000,0.6405456126400154,179814,0.13372499999999982,0.21020000000000014,0.21431749999999952,0.4417575000000013
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,2,281728,4000,0.6366094872806157,179835,0.1310274999999995,0.20305750000000033,0.2188774999999993,0.4470375000000006
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,3,281729,4000,0.6227833570438974,180372,0.14040499999999978,0.19410750000000002,0.2196475000000006,0.44583999999999985
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,0,282726,4000,0.3686796639690408,181560,0.2411350000000006,0.08690499999999997,0.35071999999999826,0.32124000000000213
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,1,282727,4000,0.37976360096586154,181911,0.23761500000000005,0.08615249999999994,0.3406950000000005,0.335537500000001
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,2,282728,4000,0.3710105747736639,181675,0.2310275000000008,0.08728749999999984,0.3617425000000008,0.3199424999999983
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,3,282729,4000,0.3603668131944607,180402,0.2263649999999998,0.08653000000000001,0.3824224999999986,0.3046825000000023
