lam,epsilon,Z,beta,r,ALLC,ALLD,TFT,WSLS,max_float64_mpmath_diff,n_absorbing_float64,solver
1.0,0.05,100,0.1,10,0.021945435254538428,0.6055570928881577,0.14973125483707234,0.2227662170202315,1.691868867226276e-12,0,mpmath_dps200_tree_theorem
2.0,0.05,100,0.1,10,0.012659580692820803,0.7376657565955119,0.06819928672997061,0.18147537598169666,1.882778699058285e-07,0,mpmath_dps200_tree_theorem
5.0,0.05,100,0.1,10,0.002422485800276964,0.8942458777826839,0.009670777463393173,0.0936608589536459,4.067755243752913e-08,0,mpmath_dps200_tree_theorem
10.0,0.05,100,0.1,10,0.00015829697514391732,0.9694327917509005,0.0005092843067291839,0.02989962696722644,1.1201040095443204e-12,0,mpmath_dps200_tree_theorem
100.0,0.05,100,0.1,10,3.7341992260660286e-26,0.9999999999959627,7.492300968446781e-26,4.037346733917839e-12,0.9999999999959627,2,mpmath_dps200_tree_theorem
1000.0,0.05,100,0.1,10,1.8916862081030158e-245,1.0,3.7833724162060316e-245,3.589696049566811e-112,1.0,2,mpmath_dps200_tree_theorem
0.01,0.1,100,0.1,10,0.2289201823077996,0.26868467488185593,0.24827396215024833,0.25412118066009615,4.9682480351975755e-15,0,mpmath_dps200_tree_theorem
0.1,0.1,100,0.1,10,0.09688276660411506,0.4159709189174823,0.2321717927302033,0.25497452174819935,2.2662427490161008e-14,0,mpmath_dps200_tree_theorem
0.25,0.1,100,0.1,10,0.03931659405613498,0.5458774186383714,0.20721786630328598,0.20758812100220767,1.0547118733938987e-14,0,mpmath_dps200_tree_theorem
0.5,0.1,100,0.1,10,0.023673994455694493,0.6607605540520806,0.16578829299657788,0.14977715849564702,3.9968028886505635e-15,0,mpmath_dps200_tree_theorem
1.0,0.1,100,0.1,10,0.01370445166595113,0.8024342049953351,0.09392037297508059,0.0899409703636332,4.365097172609467e-11,0,mpmath_dps200_tree_theorem
2.0,0.1,100,0.1,10,0.005015844424072728,0.9370601268826704,0.026627893297202682,0.03129613539605422,8.955729818155289e-08,0,mpmath_dps200_tree_theorem
5.0,0.1,100,0.1,10,0.00021705684774586426,0.9975267671737856,0.0008488976099353261,0.0014072783685331234,1.706079093104218e-11,0,mpmath_dps200_tree_theorem
10.0,0.1,100,0.1,10,1.2962203318784468e-06,0.9999854771700629,4.168383115524999e-06,9.058226489688419e-06,1.7208456881689926e-14,0,mpmath_dps200_tree_theorem
100.0,0.1,100,0.1,10,2.9674886477380125e-46,1.0,5.956967878499358e-46,1.5088926135853477e-45,1.5088926135853477e-45,1,mpmath_dps200_tree_theorem
1000.0,0.1,100,0.1,10,0.0,1.0,0.0,0.0,0.0,1,mpmath_dps200_tree_theorem
0.01,0.2,100,0.1,10,0.23289122476978996,0.2675693441043329,0.247574050263072,0.2519653808628051,3.969047313034935e-15,0,mpmath_dps200_tree_theorem
0.1,0.2,100,0.1,10,0.11109467587336383,0.42944446465839886,0.22051907800373866,0.23894178146449865,7.049916206369744e-15,0,mpmath_dps200_tree_theorem
0.25,0.2,100,0.1,10,0.03312924236523453,0.6340191312037079,0.17211212403392429,0.1607395023971333,8.43769498715119e-15,0,mpmath_dps200_tree_theorem
0.5,0.2,100,0.1,10,0.010231481791171261,0.8108064085904806,0.10988144453584127,0.06908066508250692,1.8984813721090177e-14,0,mpmath_dps200_tree_theorem
1.0,0.2,100,0.1,10,0.002385753173537761,0.9389246834471681,0.04151154774616299,0.017178015633131167,2.0083195328979286e-08,0,mpmath_dps200_tree_theorem
2.0,0.2,100,0.1,10,0.00020375815765033106,0.9929747744865474,0.005181062373809425,0.0016404049819929319,1.9143253904285729e-07,0,mpmath_dps200_tree_theorem
5.0,0.2,100,0.1,10,2.2960667735130466e-07,0.9999891067089347,8.725509000141769e-06,1.938175387746743e-06,1.9872992140790302e-14,0,mpmath_dps200_tree_theorem
10.0,0.2,100,0.1,10,2.7876940410468686e-12,0.9999999997434941,2.1894730489098472e-10,3.4770897922620144e-11,2.5650592760939617e-10,1,mpmath_dps200_tree_theorem
