id,horizon,base_rate,best_strategies,unique_best,best_mismatch_rate,null_median_mismatch,p_value,beats_chance,n_degenerate_pairs,degenerate,population
P0051,5,0.8,"['AU', 'CAS']",,0.2,0.2,0.8375,False,1,True,human
P0052,22,0.7272727272727273,"['AU', 'CAS']",,0.2727272727272727,0.2727272727272727,0.6625,False,0,False,human
P0053,9,0.6666666666666666,['CS'],CS,0.0,0.2222222222222222,0.0425,True,0,False,human
P0054,7,0.7142857142857143,"['AU', 'CAS']",,0.2857142857142857,0.2857142857142857,0.7775,False,0,False,human
P0055,5,0.8,['AU'],AU,0.2,0.2,0.815,False,0,False,human
P0056,5,0.6,['CS'],CS,0.0,0.2,0.165,False,0,False,human
P0057,5,0.6,['CAS'],CAS,0.2,0.2,0.615,False,0,False,human
P0058,6,0.6666666666666666,['CAS'],CAS,0.0,0.3333333333333333,0.095,False,0,False,human
P0059,9,0.6666666666666666,['AU'],AU,0.3333333333333333,0.3333333333333333,0.805,False,0,False,human
P0060,4,0.5,['CAS'],CAS,0.25,0.25,0.795,False,0,False,human
P0061,7,0.5714285714285714,['AU'],AU,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0062,9,0.6666666666666666,['CAS'],CAS,0.2222222222222222,0.2222222222222222,0.51,False,0,False,human
P0063,10,0.6,['CS'],CS,0.3,0.3,0.57,False,1,True,human
P0064,10,0.5,['CAS'],CAS,0.4,0.4,0.86,False,0,False,human
P0065,9,0.8888888888888888,['AU'],AU,0.1111111111111111,0.1111111111111111,0.7625,False,0,False,human
P0066,19,0.7368421052631579,['AU'],AU,0.2631578947368421,0.2631578947368421,0.6775,False,0,False,human
P0067,10,0.8,"['AU', 'CAS']",,0.2,0.2,0.69,False,0,False,human
P0068,5,0.8,"['AU', 'CAS']",,0.2,0.2,0.8375,False,1,True,human
P0069,5,0.4,['CS'],CS,0.2,0.2,0.6075,False,0,False,human
P0070,9,0.4444444444444444,['CAS'],CAS,0.1111111111111111,0.3333333333333333,0.09,False,0,False,human
P0071,7,0.42857142857142855,['AS'],AS,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0072,6,0.6666666666666666,['CAS'],CAS,0.16666666666666666,0.3333333333333333,0.4925,False,0,False,human
P0073,14,0.8571428571428571,['AU'],AU,0.14285714285714285,0.14285714285714285,0.7,False,0,False,human
P0074,5,0.6,['AU'],AU,0.4,0.2,1.0,False,0,False,human
P0075,5,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0076,27,0.48148148148148145,['CS'],CS,0.37037037037037035,0.4074074074074074,0.3925,False,0,False,human
P0077,8,0.75,"['AU', 'CS']",,0.25,0.25,0.7875,False,0,False,human
P0078,9,0.7777777777777778,['AU'],AU,0.2222222222222222,0.2222222222222222,0.7175,False,0,False,human
P0079,11,0.36363636363636365,"['AS', 'CS']",,0.36363636363636365,0.36363636363636365,0.81,False,0,False,human
P0080,7,0.42857142857142855,['AS'],AS,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0081,9,0.4444444444444444,['AS'],AS,0.4444444444444444,0.3333333333333333,1.0,False,0,False,human
P0082,12,0.5,['CS'],CS,0.16666666666666666,0.3333333333333333,0.0575,False,0,False,human
P0083,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0084,18,0.5,"['AS', 'AU']",,0.5,0.3888888888888889,1.0,False,0,False,human
P0085,5,0.6,"['AU', 'CS']",,0.4,0.2,1.0,False,0,False,human
P0086,12,0.4166666666666667,['AS'],AS,0.4166666666666667,0.3333333333333333,0.8875,False,0,False,human
P0087,22,0.5909090909090909,['AU'],AU,0.4090909090909091,0.36363636363636365,0.7575,False,0,False,human
P0088,21,0.5714285714285714,['AU'],AU,0.42857142857142855,0.38095238095238093,0.8475,False,0,False,human
P0089,10,0.8,['AU'],AU,0.2,0.2,0.7425,False,0,False,human
P0090,23,0.6521739130434783,['CS'],CS,0.30434782608695654,0.34782608695652173,0.44,False,1,True,human
P0091,6,0.5,['CS'],CS,0.3333333333333333,0.3333333333333333,0.8575,False,1,True,human
P0092,6,0.6666666666666666,['AU'],AU,0.3333333333333333,0.3333333333333333,0.8825,False,0,False,human
P0093,7,0.7142857142857143,"['AU', 'CS']",,0.2857142857142857,0.2857142857142857,0.8025,False,0,False,human
P0094,20,0.4,['AS'],AS,0.4,0.35,0.745,False,0,False,human
P0095,8,0.375,['CS'],CS,0.25,0.25,0.5725,False,0,False,human
P0096,6,0.5,"['AS', 'AU', 'CS']",,0.5,0.3333333333333333,1.0,False,0,False,human
P0097,5,0.6,['CAS'],CAS,0.0,0.2,0.1575,False,0,False,human
P0098,23,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0099,7,0.7142857142857143,['AU'],AU,0.2857142857142857,0.2857142857142857,0.77,False,0,False,human
P0100,10,0.4,['AS'],AS,0.4,0.3,0.8675,False,0,False,human
P0101,7,0.5714285714285714,['CAS'],CAS,0.2857142857142857,0.2857142857142857,0.67,False,0,False,human
P0102,6,0.6666666666666666,['AU'],AU,0.3333333333333333,0.3333333333333333,0.865,False,0,False,human
P0103,14,0.7142857142857143,['AU'],AU,0.2857142857142857,0.2857142857142857,0.68,False,0,False,human
P0104,20,0.5,['CS'],CS,0.4,0.4,0.725,False,0,False,human
P0105,6,0.8333333333333334,"['AU', 'CS']",,0.16666666666666666,0.16666666666666666,0.825,False,0,False,human
P0106,9,0.6666666666666666,['AU'],AU,0.3333333333333333,0.3333333333333333,0.825,False,0,False,human
P0107,9,0.6666666666666666,['AU'],AU,0.3333333333333333,0.3333333333333333,0.83,False,0,False,human
P0108,9,0.4444444444444444,['CAS'],CAS,0.0,0.3333333333333333,0.005,True,0,False,human
P0109,7,0.2857142857142857,['AS'],AS,0.2857142857142857,0.2857142857142857,0.785,False,0,False,human
P0110,11,0.2727272727272727,['AS'],AS,0.2727272727272727,0.2727272727272727,0.7325,False,0,False,human
P0111,5,0.4,['AS'],AS,0.4,0.2,1.0,False,0,False,human
P0112,15,0.5333333333333333,['CS'],CS,0.3333333333333333,0.4,0.475,False,0,False,human
P0113,18,0.5555555555555556,['AU'],AU,0.4444444444444444,0.3888888888888889,0.9475,False,0,False,human
P0114,7,0.5714285714285714,['AU'],AU,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0115,9,0.4444444444444444,['CS'],CS,0.3333333333333333,0.3333333333333333,0.7025,False,0,False,human
P0116,9,0.1111111111111111,"['AS', 'CS']",,0.1111111111111111,0.1111111111111111,0.7625,False,1,True,human
P0117,7,0.42857142857142855,['CAS'],CAS,0.2857142857142857,0.2857142857142857,0.66,False,0,False,human
P0118,6,0.8333333333333334,"['AU', 'CAS']",,0.16666666666666666,0.16666666666666666,0.8225,False,1,True,human
P0119,5,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0120,6,0.8333333333333334,"['AU', 'CAS']",,0.16666666666666666,0.16666666666666666,0.7875,False,1,True,human
P0121,5,0.4,['CS'],CS,0.2,0.2,0.63,False,0,False,human
P0122,8,0.75,['AU'],AU,0.25,0.25,0.7675,False,0,False,human
P0123,5,0.4,"['AS', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0124,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,1,True,human
P0125,7,0.7142857142857143,['AU'],AU,0.2857142857142857,0.2857142857142857,0.81,False,0,False,human
P0126,11,0.6363636363636364,"['AU', 'CS']",,0.36363636363636365,0.2727272727272727,0.86,False,0,False,human
P0127,13,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0128,7,0.42857142857142855,['CS'],CS,0.2857142857142857,0.2857142857142857,0.6775,False,0,False,human
P0129,5,0.6,['CS'],CS,0.2,0.2,0.5675,False,0,False,human
P0130,9,0.6666666666666666,['AU'],AU,0.3333333333333333,0.3333333333333333,0.7675,False,0,False,human
P0131,5,1.0,"['AU', 'CAS']",,0.0,0.0,1.0,False,1,True,human
P0132,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0133,15,0.4666666666666667,['CAS'],CAS,0.3333333333333333,0.4,0.4875,False,0,False,human
P0134,13,0.7692307692307693,['CAS'],CAS,0.15384615384615385,0.23076923076923078,0.455,False,0,False,human
P0135,7,0.5714285714285714,"['AU', 'CAS']",,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0136,7,1.0,"['AU', 'CAS']",,0.0,0.0,1.0,False,1,True,human
P0137,6,0.8333333333333334,['CAS'],CAS,0.0,0.16666666666666666,0.4125,False,0,False,human
P0138,5,0.8,"['AU', 'CAS']",,0.2,0.2,0.8125,False,0,False,human
P0139,17,0.9411764705882353,['AU'],AU,0.058823529411764705,0.058823529411764705,0.7275,False,0,False,human
P0140,11,0.45454545454545453,['AS'],AS,0.45454545454545453,0.36363636363636365,1.0,False,0,False,human
P0141,8,0.375,['AS'],AS,0.375,0.375,0.8575,False,0,False,human
P0142,8,0.5,"['AS', 'AU']",,0.5,0.375,1.0,False,0,False,human
P0143,8,0.625,['CS'],CS,0.25,0.25,0.5575,False,1,True,human
P0144,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0145,6,0.5,['CS'],CS,0.3333333333333333,0.3333333333333333,0.865,False,0,False,human
P0146,15,0.8,['AU'],AU,0.2,0.2,0.685,False,0,False,human
P0147,8,0.5,['CS'],CS,0.125,0.375,0.145,False,0,False,human
P0148,7,0.42857142857142855,['CAS'],CAS,0.0,0.2857142857142857,0.0325,True,0,False,human
P0149,13,0.6153846153846154,['CAS'],CAS,0.15384615384615385,0.3076923076923077,0.115,False,0,False,human
P0150,15,0.3333333333333333,['AS'],AS,0.3333333333333333,0.3333333333333333,0.71,False,0,False,human
P0151,5,0.6,['CAS'],CAS,0.0,0.2,0.1475,False,0,False,human
P0152,17,0.5882352941176471,['CAS'],CAS,0.35294117647058826,0.35294117647058826,0.585,False,0,False,human
P0153,20,0.55,['AU'],AU,0.45,0.4,0.925,False,0,False,human
P0154,6,0.8333333333333334,"['AU', 'CAS']",,0.16666666666666666,0.16666666666666666,0.7675,False,0,False,human
P0155,19,0.6842105263157895,['AU'],AU,0.3157894736842105,0.3157894736842105,0.67,False,0,False,human
P0156,14,0.8571428571428571,['AU'],AU,0.14285714285714285,0.14285714285714285,0.6975,False,0,False,human
P0157,11,0.6363636363636364,['CAS'],CAS,0.18181818181818182,0.2727272727272727,0.21,False,0,False,human
P0158,5,0.4,['CAS'],CAS,0.0,0.2,0.19,False,0,False,human
P0159,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,1,True,human
P0160,13,0.7692307692307693,['AU'],AU,0.23076923076923078,0.23076923076923078,0.6925,False,0,False,human
P0161,5,0.2,"['AS', 'CS']",,0.2,0.2,0.815,False,0,False,human
P0162,8,0.5,['CAS'],CAS,0.25,0.375,0.4475,False,0,False,human
P0163,7,0.7142857142857143,"['AU', 'CAS']",,0.2857142857142857,0.2857142857142857,0.7875,False,0,False,human
P0164,12,0.5,"['AS', 'AU']",,0.5,0.375,1.0,False,0,False,human
P0165,13,0.0,"['AS', 'CS']",,0.0,0.0,1.0,False,1,True,human
P0166,7,0.42857142857142855,['CAS'],CAS,0.14285714285714285,0.2857142857142857,0.285,False,0,False,human
P0167,14,0.42857142857142855,['CAS'],CAS,0.07142857142857142,0.35714285714285715,0.005,True,0,False,human
P0168,17,0.8823529411764706,['CS'],CS,0.058823529411764705,0.11764705882352941,0.375,False,0,False,human
P0169,5,0.0,"['AS', 'CS']",,0.0,0.0,1.0,False,1,True,human
P0170,6,0.6666666666666666,['AU'],AU,0.3333333333333333,0.16666666666666666,0.89,False,0,False,human
P0171,26,0.8461538461538461,['CS'],CS,0.11538461538461539,0.15384615384615385,0.4575,False,0,False,human
P0172,19,0.3684210526315789,['CS'],CS,0.3157894736842105,0.3684210526315789,0.4525,False,0,False,human
P0173,10,0.5,"['AS', 'AU', 'CAS']",,0.5,0.4,1.0,False,1,True,human
P0174,8,0.5,['CS'],CS,0.125,0.375,0.1275,False,0,False,human
P0175,6,0.5,"['AS', 'AU', 'CS']",,0.5,0.3333333333333333,1.0,False,0,False,human
P0176,9,0.5555555555555556,['CAS'],CAS,0.3333333333333333,0.3333333333333333,0.665,False,0,False,human
P0177,7,0.8571428571428571,['AU'],AU,0.14285714285714285,0.14285714285714285,0.7675,False,0,False,human
P0178,6,0.16666666666666666,['AS'],AS,0.16666666666666666,0.16666666666666666,0.79,False,0,False,human
P0179,13,0.6153846153846154,['CAS'],CAS,0.3076923076923077,0.3076923076923077,0.5325,False,0,False,human
P0180,5,0.6,['AU'],AU,0.4,0.2,1.0,False,0,False,human
P0181,6,0.5,['CAS'],CAS,0.16666666666666666,0.3333333333333333,0.375,False,0,False,human
P0182,6,0.6666666666666666,['CS'],CS,0.16666666666666666,0.3333333333333333,0.495,False,0,False,human
P0183,21,0.42857142857142855,['AS'],AS,0.42857142857142855,0.38095238095238093,0.835,False,0,False,human
P0184,6,0.5,['CAS'],CAS,0.16666666666666666,0.3333333333333333,0.3725,False,0,False,human
P0185,10,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0186,9,0.7777777777777778,['AU'],AU,0.2222222222222222,0.2222222222222222,0.73,False,0,False,human
P0187,5,0.4,['CAS'],CAS,0.2,0.2,0.6,False,0,False,human
P0188,8,0.625,"['AU', 'CAS']",,0.375,0.25,0.88,False,0,False,human
P0189,5,0.6,['CS'],CS,0.2,0.2,0.5775,False,0,False,human
P0190,21,0.047619047619047616,['AS'],AS,0.047619047619047616,0.047619047619047616,0.7375,False,0,False,human
P0191,9,0.7777777777777778,['AU'],AU,0.2222222222222222,0.2222222222222222,0.6975,False,0,False,human
P0192,10,0.8,['CS'],CS,0.1,0.2,0.39,False,1,True,human
P0193,10,0.2,['CS'],CS,0.1,0.2,0.39,False,0,False,human
P0194,6,0.16666666666666666,['AS'],AS,0.16666666666666666,0.16666666666666666,0.775,False,0,False,human
P0195,13,0.3076923076923077,['AS'],AS,0.3076923076923077,0.3076923076923077,0.7175,False,0,False,human
P0196,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,1,True,human
P0197,8,0.375,"['AS', 'CS']",,0.375,0.25,0.9025,False,0,False,human
P0198,9,0.1111111111111111,['AS'],AS,0.1111111111111111,0.1111111111111111,0.7425,False,0,False,human
P0199,5,0.8,"['AU', 'CAS']",,0.2,0.2,0.8475,False,0,False,human
P0200,14,0.7142857142857143,['AU'],AU,0.2857142857142857,0.2857142857142857,0.6925,False,0,False,human
P0201,5,0.6,['AU'],AU,0.4,0.2,1.0,False,1,True,human
P0202,9,0.3333333333333333,['AS'],AS,0.3333333333333333,0.2222222222222222,0.8325,False,0,False,human
P0203,12,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0204,8,0.625,['CAS'],CAS,0.125,0.25,0.205,False,0,False,human
P0205,7,0.2857142857142857,['AS'],AS,0.2857142857142857,0.2857142857142857,0.7875,False,0,False,human
P0206,7,0.8571428571428571,['AU'],AU,0.14285714285714285,0.14285714285714285,0.7775,False,0,False,human
P0207,6,0.3333333333333333,['CS'],CS,0.16666666666666666,0.16666666666666666,0.545,False,0,False,human
P0208,17,0.8823529411764706,"['AU', 'CAS']",,0.11764705882352941,0.11764705882352941,0.67,False,0,False,human
P0209,7,1.0,"['AU', 'CAS']",,0.0,0.0,1.0,False,1,True,human
P0210,9,0.6666666666666666,['AU'],AU,0.3333333333333333,0.2222222222222222,0.815,False,0,False,human
P0211,6,0.6666666666666666,"['AU', 'CS']",,0.3333333333333333,0.16666666666666666,0.915,False,0,False,human
P0212,8,0.625,"['AU', 'CAS']",,0.375,0.25,0.9075,False,0,False,human
P0213,6,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0214,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0215,6,0.6666666666666666,"['AU', 'CAS']",,0.3333333333333333,0.3333333333333333,0.8675,False,0,False,human
P0216,11,0.5454545454545454,['CAS'],CAS,0.36363636363636365,0.36363636363636365,0.7425,False,0,False,human
P0217,15,0.6,['CAS'],CAS,0.2,0.3333333333333333,0.0825,False,0,False,human
P0218,7,0.5714285714285714,['CAS'],CAS,0.2857142857142857,0.2857142857142857,0.6775,False,0,False,human
P0219,15,0.6,['CAS'],CAS,0.2,0.3333333333333333,0.13,False,0,False,human
P0220,7,0.5714285714285714,['AU'],AU,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0221,8,0.5,['CAS'],CAS,0.375,0.375,0.865,False,0,False,human
P0222,5,0.4,['CS'],CS,0.2,0.2,0.5825,False,0,False,human
P0223,5,0.4,"['AS', 'CAS']",,0.4,0.2,1.0,False,0,False,human
P0224,8,0.25,['AS'],AS,0.25,0.25,0.79,False,0,False,human
P0225,13,0.6923076923076923,['CS'],CS,0.23076923076923078,0.3076923076923077,0.4875,False,1,True,human
P0226,10,0.4,['AS'],AS,0.4,0.3,0.8925,False,0,False,human
P0227,9,0.5555555555555556,['CAS'],CAS,0.3333333333333333,0.3333333333333333,0.69,False,0,False,human
P0228,11,0.5454545454545454,['CAS'],CAS,0.36363636363636365,0.36363636363636365,0.74,False,0,False,human
P0229,13,0.0,"['AS', 'CS']",,0.0,0.0,1.0,False,1,True,human
P0230,6,0.6666666666666666,['CS'],CS,0.16666666666666666,0.16666666666666666,0.5175,False,0,False,human
P0231,7,0.5714285714285714,['CAS'],CAS,0.2857142857142857,0.2857142857142857,0.6775,False,0,False,human
P0232,21,0.6190476190476191,['CAS'],CAS,0.14285714285714285,0.38095238095238093,0.025,True,0,False,human
P0233,10,0.7,['AU'],AU,0.3,0.3,0.74,False,0,False,human
P0234,5,0.6,['CAS'],CAS,0.2,0.2,0.61,False,0,False,human
P0235,14,0.7857142857142857,['AU'],AU,0.21428571428571427,0.21428571428571427,0.705,False,0,False,human
P0236,11,0.45454545454545453,['CAS'],CAS,0.2727272727272727,0.36363636363636365,0.42,False,0,False,human
P0237,12,0.4166666666666667,['AS'],AS,0.4166666666666667,0.3333333333333333,0.925,False,0,False,human
P0238,5,0.6,"['AU', 'CS']",,0.4,0.2,1.0,False,0,False,human
P0239,9,0.4444444444444444,['CS'],CS,0.2222222222222222,0.3333333333333333,0.3175,False,0,False,human
P0240,14,0.5,['CAS'],CAS,0.35714285714285715,0.35714285714285715,0.6175,False,0,False,human
P0241,9,0.4444444444444444,['AS'],AS,0.4444444444444444,0.3333333333333333,1.0,False,0,False,human
P0242,8,0.375,['AS'],AS,0.375,0.25,0.8975,False,0,False,human
P0243,6,0.6666666666666666,"['AU', 'CAS']",,0.3333333333333333,0.3333333333333333,0.89,False,1,True,human
P0244,10,0.5,"['AS', 'AU']",,0.5,0.3,1.0,False,0,False,human
P0245,11,0.36363636363636365,['AS'],AS,0.36363636363636365,0.2727272727272727,0.82,False,0,False,human
P0246,14,0.7142857142857143,"['AU', 'CS']",,0.2857142857142857,0.2857142857142857,0.715,False,0,False,human
P0247,6,0.0,['AS'],AS,0.0,0.0,1.0,False,0,False,human
P0248,8,0.625,['AU'],AU,0.375,0.25,0.9175,False,0,False,human
P0249,10,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0250,6,0.3333333333333333,['AS'],AS,0.3333333333333333,0.16666666666666666,0.88,False,0,False,human
P0251,23,0.782608695652174,['AU'],AU,0.21739130434782608,0.21739130434782608,0.625,False,0,False,human
P0252,12,0.5833333333333334,['CS'],CS,0.16666666666666666,0.3333333333333333,0.1225,False,0,False,human
P0253,8,0.625,['CS'],CS,0.25,0.25,0.5225,False,0,False,human
P0254,12,0.6666666666666666,['AU'],AU,0.3333333333333333,0.25,0.7825,False,0,False,human
P0255,14,0.5,"['AS', 'AU', 'CAS']",,0.5,0.35714285714285715,1.0,False,0,False,human
P0256,9,0.3333333333333333,['CS'],CS,0.0,0.3333333333333333,0.0375,True,0,False,human
P0257,8,0.375,"['AS', 'CAS']",,0.375,0.25,0.8925,False,0,False,human
P0258,6,0.8333333333333334,"['AU', 'CAS']",,0.16666666666666666,0.16666666666666666,0.7875,False,1,True,human
P0259,8,0.625,['CS'],CS,0.25,0.25,0.5275,False,0,False,human
P0260,5,0.8,['CAS'],CAS,0.0,0.2,0.435,False,0,False,human
P0261,5,0.6,"['AU', 'CAS']",,0.4,0.2,1.0,False,1,True,human
P0262,8,0.375,"['AS', 'CS']",,0.375,0.25,0.9075,False,0,False,human
P0263,17,0.23529411764705882,['AS'],AS,0.23529411764705882,0.23529411764705882,0.65,False,0,False,human
P0264,9,0.6666666666666666,['CAS'],CAS,0.0,0.2222222222222222,0.0425,True,0,False,human
P0265,14,0.8571428571428571,['AU'],AU,0.14285714285714285,0.14285714285714285,0.715,False,0,False,human
P0266,5,1.0,"['AU', 'CAS']",,0.0,0.0,1.0,False,1,True,human
P0267,14,0.9285714285714286,['AU'],AU,0.07142857142857142,0.07142857142857142,0.7325,False,0,False,human
P0268,6,0.3333333333333333,['AS'],AS,0.3333333333333333,0.16666666666666666,0.9,False,0,False,human
P0269,5,0.6,['AU'],AU,0.4,0.2,1.0,False,0,False,human
P0270,10,0.6,['CAS'],CAS,0.3,0.3,0.6075,False,0,False,human
P0271,6,0.8333333333333334,"['AU', 'CAS']",,0.16666666666666666,0.16666666666666666,0.805,False,1,True,human
P0272,6,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0273,12,0.9166666666666666,"['AU', 'CAS']",,0.08333333333333333,0.08333333333333333,0.7475,False,1,True,human
P0274,15,0.3333333333333333,['AS'],AS,0.3333333333333333,0.3333333333333333,0.6825,False,0,False,human
P0275,5,0.6,"['AU', 'CS']",,0.4,0.2,1.0,False,0,False,human
P0276,7,0.5714285714285714,['AU'],AU,0.42857142857142855,0.2857142857142857,1.0,False,0,False,human
P0277,8,0.375,['AS'],AS,0.375,0.25,0.9,False,0,False,human
P0278,10,0.9,['AU'],AU,0.1,0.1,0.7075,False,0,False,human
P0279,6,1.0,['AU'],AU,0.0,0.0,1.0,False,0,False,human
P0280,9,0.5555555555555556,"['AU', 'CAS']",,0.4444444444444444,0.3333333333333333,1.0,False,0,False,human
P0281,11,0.7272727272727273,['AU'],AU,0.2727272727272727,0.2727272727272727,0.67,False,0,False,human
P0282,6,0.5,"['AS', 'AU', 'CS']",,0.5,0.3333333333333333,1.0,False,0,False,human
P0283,11,0.8181818181818182,['AU'],AU,0.18181818181818182,0.18181818181818182,0.7075,False,0,False,human
P0284,15,0.5333333333333333,['CS'],CS,0.13333333333333333,0.4,0.01,True,0,False,human
P0285,6,0.5,['CS'],CS,0.16666666666666666,0.3333333333333333,0.3625,False,0,False,human
P0286,6,0.8333333333333334,['AU'],AU,0.16666666666666666,0.16666666666666666,0.765,False,0,False,human
P0287,26,0.8461538461538461,['CAS'],CAS,0.07692307692307693,0.15384615384615385,0.19,False,0,False,human
P0288,5,0.2,"['AS', 'CS']",,0.2,0.2,0.8125,False,0,False,human
