regime,regime_label,beta,mutation,max_private_risk,chain,seed,samples,unsafe_frequency,moves,frequency_AS,frequency_AU,frequency_CS,frequency_CAS
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,0,272726,1000,0.008604210497240153,6727,0.04501000000000004,0.0028499999999999854,0.9485900000000054,0.00354999999999998
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,1,272727,1000,0.00987340462375151,6886,0.04705999999999999,0.0036199999999999765,0.9459300000000057,0.0033899999999999803
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,2,272728,1000,0.00910696997806339,6635,0.04151999999999994,0.003119999999999985,0.9518200000000067,0.003539999999999981
supplement_reference,"Figure S5: beta=2, mu=1/Z=0.01",2.0,0.01,0.9,3,272729,1000,0.00980758638852085,5837,0.035610000000000135,0.003439999999999981,0.9573400000000084,0.0036099999999999782
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,0,280726,1000,0.8724515769493959,38259,0.05646000000000006,0.4453799999999998,0.08290000000000015,0.4152600000000006
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,1,280727,1000,0.8816006969054544,37978,0.052550000000000034,0.4364999999999996,0.07372999999999999,0.43721999999999955
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,2,280728,1000,0.8599687562150329,39197,0.06349000000000012,0.4498000000000002,0.08821999999999995,0.3984899999999996
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.1,3,280729,1000,0.8647012027018812,37936,0.06219000000000005,0.4646200000000004,0.08449000000000005,0.38870000000000016
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,0,281726,1000,0.6768853323972597,42811,0.11213000000000001,0.2244799999999999,0.20535000000000025,0.4580400000000004
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,1,281727,1000,0.6788195623256986,43163,0.13335999999999987,0.2217700000000001,0.16499000000000003,0.4798799999999996
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,2,281728,1000,0.6100920420422205,43780,0.14424999999999993,0.19420000000000007,0.2298700000000001,0.43168000000000023
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.6,3,281729,1000,0.6294455133541011,43885,0.13951999999999978,0.20937000000000017,0.21861999999999973,0.4324900000000009
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,0,282726,1000,0.36986497598238677,43547,0.23978000000000016,0.09177,0.35277000000000014,0.3156800000000004
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,1,282727,1000,0.3872496298256964,43586,0.24342000000000005,0.08753999999999999,0.32355000000000017,0.34549000000000035
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,2,282728,1000,0.3553746685569162,43710,0.23778999999999967,0.08551999999999998,0.3686999999999995,0.3079900000000004
reported_best_fit,"Main text best fit: beta=0.01, mu=0.05",0.01,0.05,0.9,3,282729,1000,0.36694750906838647,43150,0.2268799999999999,0.08559999999999995,0.37333000000000055,0.31419000000000014
