model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
gpt-5-nano,R2-R2,ai-race-fairgame-v3,20fc9d5dc05dab2641d82e87fd797bfde3bd8a0f26c925c84ad65f7580cf216a,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.008333333333333333,-1.0,19.0,0.3298768009211252,-0.31622776601683794,0.9896304027633755
gpt-5-nano,R2-R3,ai-race-fairgame-v3,c3c3880229a504030b53b75b4a709ff3e6338493197e88215632c8098490ae8a,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.04041666666666667,0.04458333333333333,-0.13687077150698987,37.8828515547025,0.8918577791956268,-0.04328233830665648,1.0
gpt-5-nano,R2-R3,ai-race-fairgame-v3,c3c3880229a504030b53b75b4a709ff3e6338493197e88215632c8098490ae8a,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.04041666666666667,0.11458333333333333,-1.587853976057535,27.969635358617417,0.12356129208925248,-0.502123515609628,0.37068387626775745
gpt-5-nano,R2-R3,ai-race-fairgame-v3,c3c3880229a504030b53b75b4a709ff3e6338493197e88215632c8098490ae8a,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.04458333333333333,0.11458333333333333,-1.4812560955591862,28.880031805532276,0.14936740568618784,-0.4684143059975053,0.4481022170585635
gpt-5-nano,R2-R4,ai-race-fairgame-v3,eb3fc01948afc39a0bdb7d8505f0fc8cf8c0faa405d5e01e06786000810cf63e,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.2608531746031746,0.3589087301587302,-0.95973071778738,35.834245094790084,0.3436220215282309,-0.30349350086363946,1.0
gpt-5-nano,R2-R4,ai-race-fairgame-v3,eb3fc01948afc39a0bdb7d8505f0fc8cf8c0faa405d5e01e06786000810cf63e,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.2608531746031746,0.34460317460317463,-0.8694299904203142,37.14643568735778,0.3901953532442469,-0.2749379035786568,1.0
gpt-5-nano,R2-R4,ai-race-fairgame-v3,eb3fc01948afc39a0bdb7d8505f0fc8cf8c0faa405d5e01e06786000810cf63e,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.3589087301587302,0.34460317460317463,0.13144155275504416,37.63922053185436,0.8961261041425206,0.041565468589511954,1.0
gpt-5-nano,R2-R5,ai-race-fairgame-v3,5d5e4f80e4411da94cc030534db4e5a4cc712cc6e0240ff52e47f17c7ae39036,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.33765873015873016,0.3215476190476191,0.14925659927047294,37.87233528637564,0.8821431477621261,0.04719908095057206,1.0
gpt-5-nano,R2-R5,ai-race-fairgame-v3,5d5e4f80e4411da94cc030534db4e5a4cc712cc6e0240ff52e47f17c7ae39036,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.33765873015873016,0.3076587301587302,0.27960356534823183,37.81009399524715,0.7813055795379894,0.08841841084041431,1.0
gpt-5-nano,R2-R5,ai-race-fairgame-v3,5d5e4f80e4411da94cc030534db4e5a4cc712cc6e0240ff52e47f17c7ae39036,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.3215476190476191,0.3076587301587302,0.13342566380027268,37.993712921664674,0.8945609733275856,0.04219289959287392,1.0
gpt-5-nano,R2-R6,ai-race-fairgame-v3,6fddd011d29c0ee6b3b9adac863d71167c141100ac6a59ecb6672ddf3aea488b,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.35107142857142853,0.32813492063492067,0.20892295643026698,37.999356696618726,0.8356243311524885,0.0660672397815765,1.0
gpt-5-nano,R2-R6,ai-race-fairgame-v3,6fddd011d29c0ee6b3b9adac863d71167c141100ac6a59ecb6672ddf3aea488b,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.35107142857142853,0.34176587301587297,0.08396772697230558,37.991884380233124,0.933522988370159,0.026552926717963977,1.0
gpt-5-nano,R2-R6,ai-race-fairgame-v3,6fddd011d29c0ee6b3b9adac863d71167c141100ac6a59ecb6672ddf3aea488b,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.32813492063492067,0.34176587301587297,-0.12324657470629857,37.98667526630322,0.9025616453535351,-0.038973988988600126,1.0
gpt-5-nano,R3-R1,ai-race-fairgame-v3,5fb0408188b461c4d41c167266c63d73f72355d97246d15fb7b2c792b3bed518,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.04625,0.08484126984126983,-0.9906788771241816,35.9289947228836,0.3284676856741211,-0.31328016815304943,0.9854030570223633
gpt-5-nano,R3-R1,ai-race-fairgame-v3,5fb0408188b461c4d41c167266c63d73f72355d97246d15fb7b2c792b3bed518,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.04625,0.07720238095238094,-0.7469999171810994,34.30136653688137,0.4601537163733537,-0.23622211502494203,1.0
gpt-5-nano,R3-R1,ai-race-fairgame-v3,5fb0408188b461c4d41c167266c63d73f72355d97246d15fb7b2c792b3bed518,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.08484126984126983,0.07720238095238094,0.16744438735171563,37.654133606014156,0.8679164663637443,0.05295056454429111,1.0
gpt-5-nano,R3-R2,ai-race-fairgame-v3,5544079c8b2c6f8cd9c2b6f4ab10b7606034b1b75eea1acaf0c9d8dab93b7f03,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.08392857142857144,0.10218253968253968,-0.3040546588815484,37.52870180127502,0.7627658016988955,-0.09615052552512376,1.0
gpt-5-nano,R3-R2,ai-race-fairgame-v3,5544079c8b2c6f8cd9c2b6f4ab10b7606034b1b75eea1acaf0c9d8dab93b7f03,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.08392857142857144,0.07666666666666666,0.13086727443219062,34.83021091734213,0.8966332703911629,0.04138386583840409,1.0
gpt-5-nano,R3-R2,ai-race-fairgame-v3,5544079c8b2c6f8cd9c2b6f4ab10b7606034b1b75eea1acaf0c9d8dab93b7f03,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.10218253968253968,0.07666666666666666,0.49331444108007977,36.59082703691215,0.6247383321433719,0.15599972364659867,1.0
gpt-5-nano,R3-R3,ai-race-fairgame-v3,a39695ae5f4da7bb6d8a5fa790e310edb62647bc0e42c1b8fcd16cdf62ef49fd,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.1380952380952381,0.15246031746031746,-0.3468155502589917,34.049820860032476,0.7308642245335865,-0.10967270667830134,1.0
gpt-5-nano,R3-R3,ai-race-fairgame-v3,a39695ae5f4da7bb6d8a5fa790e310edb62647bc0e42c1b8fcd16cdf62ef49fd,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.1380952380952381,0.1646230158730159,-0.834465625396375,37.46599888666812,0.40930799899569076,-0.2638812005369392,1.0
gpt-5-nano,R3-R3,ai-race-fairgame-v3,a39695ae5f4da7bb6d8a5fa790e310edb62647bc0e42c1b8fcd16cdf62ef49fd,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.15246031746031746,0.1646230158730159,-0.30454762613628716,31.789084926810386,0.7626956078127897,-0.09630641545880926,1.0
gpt-5-nano,R3-R4,ai-race-fairgame-v3,762fd623bba3bee2e043aff8722a1bbfaed5bbfc6c05780fcc4c61ef3f9561d0,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.4018253968253968,0.39369047619047615,0.11665796329048582,37.056394318034435,0.9077610686271379,0.03689048711942462,1.0
gpt-5-nano,R3-R4,ai-race-fairgame-v3,762fd623bba3bee2e043aff8722a1bbfaed5bbfc6c05780fcc4c61ef3f9561d0,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.4018253968253968,0.39529761904761906,0.09769595094299922,37.72980752841956,0.9226908936055531,0.03089417231559523,1.0
gpt-5-nano,R3-R4,ai-race-fairgame-v3,762fd623bba3bee2e043aff8722a1bbfaed5bbfc6c05780fcc4c61ef3f9561d0,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.39369047619047615,0.39529761904761906,-0.022200746733962377,37.78190722829946,0.9824046598298415,-0.007020492543586534,1.0
gpt-5-nano,R3-R5,ai-race-fairgame-v3,18e87c63f13788867fa8962d0a84174f518d7e02922a434bf5eda6f433d102b9,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.3477380952380952,0.3598611111111111,-0.17148401996969218,37.85095027160862,0.8647567091917019,-0.05422800854260258,1.0
gpt-5-nano,R3-R5,ai-race-fairgame-v3,18e87c63f13788867fa8962d0a84174f518d7e02922a434bf5eda6f433d102b9,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.3477380952380952,0.39690476190476187,-0.631238393441102,36.12379655463887,0.5318588296198168,-0.1996151069819375,1.0
gpt-5-nano,R3-R5,ai-race-fairgame-v3,18e87c63f13788867fa8962d0a84174f518d7e02922a434bf5eda6f433d102b9,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.3598611111111111,0.39690476190476187,-0.4637581627687552,36.962433244433456,0.6455406231095798,-0.14665320778443655,1.0
gpt-5-nano,R3-R6,ai-race-fairgame-v3,4b09c77d364ce7b9843792dc3ab9b3e48d3a2ccd33e684793da6f3a523e742a6,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.3898214285714286,0.3996626984126984,-0.13980827888815503,34.174096304012316,0.8896322171116382,-0.044211259703460314,1.0
gpt-5-nano,R3-R6,ai-race-fairgame-v3,4b09c77d364ce7b9843792dc3ab9b3e48d3a2ccd33e684793da6f3a523e742a6,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.3898214285714286,0.43690476190476185,-0.6153817503515473,37.37189511711794,0.5420322392311376,-0.19460079616120127,1.0
gpt-5-nano,R3-R6,ai-race-fairgame-v3,4b09c77d364ce7b9843792dc3ab9b3e48d3a2ccd33e684793da6f3a523e742a6,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.3996626984126984,0.43690476190476185,-0.574930598026742,36.33229341239437,0.5688816751448302,-0.1818090186287213,1.0
gpt-5-nano,R4-R1,ai-race-fairgame-v3,ad54d488b748b7c2902b8bdfcba5dc8e65684f09de4a21febb23eaffcf2ed7e5,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.2924603174603174,0.3009920634920635,-0.09401920203663847,37.26332145294189,0.9255976373206998,-0.02973148222273192,1.0
gpt-5-nano,R4-R1,ai-race-fairgame-v3,ad54d488b748b7c2902b8bdfcba5dc8e65684f09de4a21febb23eaffcf2ed7e5,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.2924603174603174,0.3154365079365079,-0.2399616052003849,36.120722702364155,0.8117166320076487,-0.07588252234233216,1.0
gpt-5-nano,R4-R1,ai-race-fairgame-v3,ad54d488b748b7c2902b8bdfcba5dc8e65684f09de4a21febb23eaffcf2ed7e5,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.3009920634920635,0.3154365079365079,-0.14214758801103536,37.69203924096086,0.8877205421833287,-0.044951014201411565,1.0
