model,max_private_risk,persona_condition,prompt_version,protocol_signature,run_phase,run_status,parameter_point,beta,mu,nominal_mu,mutation_regime,Z,n_players,observed_median_phi_U,observed_mean_phi_U,predicted_phi_U,difference
qwen2.5:7b-instruct-fp16,0.6,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.40625,0.45058781496281497,0.9999999999999987,-0.5937499999999987
qwen2.5:7b-instruct-fp16,0.6,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.40625,0.45058781496281497,0.9306236497959801,-0.5243736497959801
qwen2.5:7b-instruct-fp16,0.6,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,40,0.5,0.5360494366744366,0.9999999999999987,-0.49999999999999867
qwen2.5:7b-instruct-fp16,0.6,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,40,0.5,0.5360494366744366,0.9306236497959801,-0.4306236497959801
qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.26136363636363635,0.30336913086913087,0.00970873590300109,0.25165490046063527
qwen2.5:7b-instruct-fp16,0.9,R-,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.26136363636363635,0.30336913086913087,0.0639292188113671,0.19743441755226926
qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.595959595959596,0.6174316655566655,0.00970873590300109,0.5862508600565949
qwen2.5:7b-instruct-fp16,0.9,R0,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.595959595959596,0.6174316655566655,0.0639292188113671,0.5320303771482289
qwen2.5:7b-instruct-fp16,0.9,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.7777777777777778,0.7577883227883228,0.00970873590300109,0.7680690418747766
qwen2.5:7b-instruct-fp16,0.9,S_AA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.7777777777777778,0.7577883227883228,0.0639292188113671,0.7138485589664108
qwen2.5:7b-instruct-fp16,0.9,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.4090909090909091,0.46953622766122766,0.00970873590300109,0.39938217318790803
qwen2.5:7b-instruct-fp16,0.9,S_AC,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.4090909090909091,0.46953622766122766,0.0639292188113671,0.345161690279542
qwen2.5:7b-instruct-fp16,0.9,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,20,0.36363636363636365,0.4397923604173604,0.00970873590300109,0.35392762773336256
qwen2.5:7b-instruct-fp16,0.9,S_CA,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,20,0.36363636363636365,0.4397923604173604,0.0639292188113671,0.29970714482499655
qwen2.5:7b-instruct-fp16,0.9,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,reference,2.0,0.0,0.02,small_mutation_limit,100,40,0.5,0.5529972111222111,0.00970873590300109,0.4902912640969989
qwen2.5:7b-instruct-fp16,0.9,none,ai-race-fairgame-v3,d9189c2e5217f018ed55b6e1a70e918bcd699ee0f14d339b92be406e83b8f90f,pilot,completed,best_fit,0.01,0.0,0.05,small_mutation_limit,100,40,0.5,0.5529972111222111,0.0639292188113671,0.4360707811886329
